,Clause,Opt-out via contacting company,Dont use service/feature,Opt-out link,Browser/device privacy controls,Unspecified,Opt-in,First-party privacy controls,Other,Third-party privacy controls
314,remove yourself from Food Allergy Research & Education e-mail list by contacting us via e-mail at: contactfare@foodallergy.org.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,by contacting us via e-mail at: contactfare@foodallergy.org.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,unsubscribe by following the instructions in the e-mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
317,"Please send us your name, phone number, and e-mail and postal addresses and which communications you would like to opt-out of from Food Allergy Research & Education.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,"Please send us your name, phone number, and e-mail and postal addresses and which communications you would like to opt-out of from Food Allergy Research & Education. Your e-mail address is never shared with third parties without your express consent.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,Please send us,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,your requests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
321,please notify us by emailing contactfare@foodallergy.org or calling 800-929-4040.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,"If you prefer not to receive e-mail communications or postal mail or telephone calls from Food Allergy Research & Education, please notify us by emailing contactfare@foodallergy.org or calling 800-929-4040.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,By using our website,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,"By using our website, you agree",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
325,Opting Out of IFSA-Butler Communications,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,can be updated or modified at any time by calling (800) 858-0229 or emailing studyabroad@ifsa-butler.org.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,"you may opt out by contacting us at (800) 858-0229 or by mail at: 1100 W. 42nd Street, Suite 305 Indianapolis, IN 46208-3345",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,"If you wish to no longer receive all communications from IFSA-Butler, you may opt out by contacting us at (800) 858-0229 or by mail at: 1100 W. 42nd Street, Suite 305 Indianapolis, IN 46208-3345",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,Please see the Choice and Opt-out sections.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
330,Please see the Choice and Opt-out sections,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
331,'opt-out',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Our users are given the opportunity to 'opt-out',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
333,our order form has an 'opt-out' mechanism,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
334,may opt-out of receiving these communications by replying to unsubscribe in the subject line in the email.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
335,replying to unsubscribe in the subject line in the email,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,The friend may contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,You can give us information directly,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
338,You can give us information directly.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
339,the opportunity to opt out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
340,visit AOL Marketing Preferences to review your marketing preferences and make choices about how your information may be used to provide marketing offers to you,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
341,you can visit AOL Marketing Preferences to review your marketing preferences and make choices about how your information may be used to provide marketing offers to you,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
342,"Note that these preferences do not apply to communications that are directly related to your registration with AOL or the fulfillment of a specific transaction you have requested (for example, a service advisory from AOL or an acknowledgment of a purchase order).",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,you can visit AOL Marketing Preferences,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
344,opt out of receiving targeted ads from AOL by visiting the Digital Advertising Alliance's consumer choice page and selecting AOL Advertising.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
345,You can also opt out of receiving targeted ads from AOL by visiting the Digital Advertising Alliance's consumer choice page and selecting AOL Advertising.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
346,by visiting the Digital Advertising Alliance's consumer choice page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
347,may also offer you the ability to manage and control information collected or used,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
348,"  Some of our Services ( AOL Search and Netscape ISP, for example) may also offer you the ability to manage and control information collected or used when you use these services.  ",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
349,"By using our Services or by providing us with your information, you consent to this collection, transfer, storage, and processing of information",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,You are not required to provide information about yourself when you visit our Sites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
351,"If you sign up to receive any newsletters or updates from us through our Sites, or if you otherwise receive promotional communications from us, you will be able to opt-out of those communications by following the procedures described within the communication itself.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
352,You also may contact us to opt-out from promotional communications that we send.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,If you sign up to receive any newsletters,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
354,You also may contact us to opt-out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,you will be able to opt-out of those communications by following the procedures described within the communication itself,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
356,"Most web browsers automatically accept cookies, but they also offer a user the ability to block them. Doing so may prevent you from using some of the features of our Sites. Instructions for blocking cookies can be found in your browser help tab.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
357,You can also learn more about how cookies and other technologies are used to target advertisements to your browser at www.networkadvertising.org/understanding-online-advertising.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
358,Instructions for blocking cookies can be found in your browser help tab.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
359,"Most web browsers automatically accept cookies, but they also offer a user the ability to block them.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
360,You can also learn more about specific companies we allow to place cookies on our Sites and their policies regarding use of that data and advertising targeting here.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
361,opt out of the service may be found in the emails you receive.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
362,you may not be able to use or participate in some or all of the features offered through the Site.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,"Your Choices. When we request information from you on the Site, you may always choose not to provide us with that information. But if you decline to supply or provide us with certain information while using the Site, you may not be able to use or participate in some or all of the features offered through the Site.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,"opt out of information collection practices by many third parties, visit the Digital Advertising Alliance's website at www.aboutads.info.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
365,most Web browsers allow you to disable certain functionality or set certain privacy setting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
366,visit the Digital Advertising Alliance's website at www.aboutads.info.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
367,"If you want to limit the information that is automatically collected while you use our Site, most Web browsers allow you to disable certain functionality or set certain privacy setting.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
368,"If you would like more information on how to opt out of information collection practices by many third parties, visit the Digital Advertising Alliance's website at www.aboutads.info.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
369,do not w,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,send a letter to the Online Privacy Coordinator whose contact information is listed at the end of this Privacy Notice.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,"If you do not wish certain information to be shared for these purposes, send a letter to the Online Privacy Coordinator whose contact information is listed at the end of this Privacy Notice.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,"opt out of the use of cookies by DoubleClick,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
373,"You can opt out of the use of cookies by DoubleClick, one of our service providers, by visiting http://www.google.com/intl/en/policies/privacy.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
374,"if you would like more information on how to opt out of a service provider's information collection practices, go to www.aboutads.info.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
375,"if you would like more information on how to opt out of a service provider's information collection practices, go to www.aboutads.info. You can opt out of the use of cookies by DoubleClick, one of our service providers, by visiting http://www.google.com/intl/en/policies/privacy. Additionally, many of our advertising service providers are members of the Network Advertising Initiative (""NAI""). You can obtain more information about these advertising service providers' information collection practices, and opt out of such practices (and at the same time opt out of the collection practices of other, or all, NAI members) by following the opt out instructions on the NAI's website at http://www.networkadvertising.org/managing/opt_out.asp.If you would like more information on how to opt out of information collection practices, go to www.aboutads.info.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
376,"The use and collection of information by third-party advertising service providers are governed by the relevant third party's Privacy Notice and are not covered by our Privacy Notice. If you would like more information about the information collection practices of a particular service provider, or if you would like more information on how to opt out of a service provider's information collection practices, go to www.aboutads.info. You can opt out of the use of cookies by DoubleClick, one of our service providers, by visiting http://www.google.com/intl/en/policies/privacy. Additionally, many of our advertising service providers are members of the Network Advertising Initiative (""NAI""). You can obtain more information about these advertising service providers' information collection practices, and opt out of such practices (and at the same time opt out of the collection practices of other, or all, NAI members) by following the opt out instructions on the NAI's website at http://www.networkadvertising.org/managing/opt_out.asp.If you would like more information on how to opt out of information collection practices, go to www.aboutads.info.  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
377,o opt out,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
378,"Finally, to learn how to remove cookies, you may visit these links: deleting cookies and deleting flash cookies.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
379,"Many ad companies are members of the Network Advertising Initiative. NAI members allow users to opt out of being tracked by cookies. To opt out of cookie tracking by NAI members, you may visit http://www.networkadvertising.org/ and click on the ""Consumer Opt-out"" button. Companies may also be members of the Digital Advertising Alliance (""DAA"") and to opt out of cookie tracking by DAA members, you may visit http://www.aboutads.info/choices/.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
380,"To opt out of cookie tracking by NAI members, you may visit http://www.networkadvertising.org/ and click on the ""Consumer Opt-out"" button.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
381,"Opt-out""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
382,by writing to our Legal Department at our corporate address below,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,account,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
384,we not send you communications or share your personal information by writing to our Legal Department at our corporate address below or by visiting your account information section for each site or app.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,may request that Dictionary.com LLC not disclose your personal information to third parties.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,at the time you register,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
387,"you may request that Dictionary.com LLC not disclose your personal information to third parties. You may do so either at the time you register or by contacting us by writing to us at Dictionary.com LLC, ATTN: Legal Department, 555 12th Street, 5th Floor, Oakland, CA 94607.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,You should note that cookies may be necessary to provide you with certain features on the Websites.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,http://www.networkadvertising.org/managing/opt_out.asp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
390,The emails that we send contain links that enable you to unsubscribe from such mailings.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
391,"At any time, you can contact Prometheus Global Media at 1-800-658-8372 and terms@prometheusgm.com to request that we not share your Personally Identifiable Information with third parties.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,not,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
393,"If you prefer not to receive traditional mail or other off-line promotions from this or any other Time Inc. property, or if you want to opt-out of any sharing of your personally identifiable offline information with third parties not owned by Time Inc., please click here.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
394,"if you want to opt-out of any sharing of your personally identifiable offline information with third parties not owned by Time Inc., please click here.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
395,"If you prefer not to receive e-mail marketing from this or any other Time Inc. property, or if you want to opt-out of any sharing of your email address with third parties not owned by Time Inc., please click here.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Time Inc. sites will not use or transfer personally identifiable information provided to us in ways unrelated to the ones described above without also providing you with an opportunity to opt out of these unrelated uses.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
397,"As discussed above, if you wish to opt-out of our sharing of your information with third parties for the third parties' direct marketing purposes offline please click here, or for email please click here.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
398,"For more information on advertisements and your behavioral advertising options, visit our About Ads page and our Network Advertising Initiatives page.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
399,browser option so that you will not receive cookies and you can also delete existing cookies from your browser,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
400,You can set your browser option so that you will not receive cookies and you can also delete existing cookies from your browser.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
401,You can set your browser option so that you will not receive cookies and you can also delete existing cookies from your browser,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
402,"on managing Flash cookies, for example, see http://helpx.adobe.com/flash-player/kb/disable-local-shared-objects-flash.htm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
403,"Depending on how local shared objects are enabled on your computer or device, you may be able to manage them using software settings",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
404,"By contacting us, you may also object to our further use of your personal information if you have compelling legitimate grounds",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,You can visit our Web Sites without sharing personally identifiable information.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
406,"You can visit our Web Sites without telling us who you are and without revealing any personally identifiable information to learn about American Honda, American Honda Finance Corporation (""AHFC""), our product and service information, special offers and promotions, and investor information. You can also access financial planning tools.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
407,You have the ability to accept or decline cookies.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
408,"If you wish to not have this information used for the purpose of serving you targeted ads, you may opt-out by going to: http://preferences.truste.com/preference.html?affiliateId=99.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
409,are also encouraged to see the American Honda Finance Corporation Financial Privacy Policy below to learn more about protections and use of your nonpublic personal information (such as personally identifiable financial information).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
410,You may build a Honda model of your choice without providing personally identifiable information.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
411,to opt-in,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
412,choose to opt-in,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
413,choose whether you would like to receive additional information on Motorcycle products or whether you would like to email the link to a friend.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
414,you may choose to participate in the HRCA member directory.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
415,you may choose,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
416,You are given the option of providing us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
417,You may obtain investor relations information without providing personally identifiable information.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
418,Email Sign Up. You may choose to,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
419,You may choose to sign up,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
420,unsubscribe,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
421,NaturalNews.com honors all email unsubscribe requests,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,"unsubscribe"" link",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
423,"To opt-out of NaturalNews emails, simply click the ""unsubscribe"" link found at the bottom of any email from NaturalNews.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
424,unsubscribing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,"If you experience any difficulty unsubscribing, simply forward this entire email to reply@naturalnews.com and you will be automatically unsubscribed.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,disable,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
427,"However, users can disable cookies by changing their browser settings.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
428,opt out of these communications.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
429,Users may opt out of these communications. Instructions for discontinuing receipt of promotional email communications from Valve will be provided in email communications to users.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
430,Valve gives users the option to receive promotional email communications from Valve. Users may opt out of these communications. Instructions for discontinuing receipt of promotional email communications from Valve will be provided in email communications to users.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
431,please do not use our sites or services.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,"By using our sites and services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this privacy policy. If you do not agree to this privacy policy, please do not use our sites or services.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,"If you do not agree to this privacy policy, please do not use our sites or services.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,"you may elect to download certain installed tools, which may collect and transmit information",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
435,you voluntarily and directly provide it,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
436,"By visiting our sites and services, you consent",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,You may choose to publicly disclose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
438,You may choose to,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
439,going to the settings of your mobile device,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
440,device's settings for the relevant application.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
441,going to the settings of your mobile device and reviewing the permissions of each application. You may stop further use of your geo-location by visiting your device's settings for the relevant application.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
442,by going to the settings of your mobile device,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
443,by visiting your device's settings,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
444,visiting your email preferences page for the relevant site.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
445,You may change your email preferences at any time by visiting your email preferences page for the relevant site.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
446,"Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
447,"To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
448,"Contact us. Please provide your name, contact information, and specific relevant information that you no longer wish to receive.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,Return to the web page(s) where you originally registered your preferences and follow the opt-out instructions.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
450,Contact us.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,"Select the email ""opt out"" or ""unsubscribe"" link",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
452,follow the opt-out instructions included in each email communication,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
453,You may not be able to opt out of receiving certain messages although our services may provide a means to modify the frequency of receiving them.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
454,You may not be able to opt out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
455,although our services may provide a means to modify the frequency of receiving them.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
456,"Contact us. Please provide your name, relevant contact information, and specific relevant information about your privacy preferences.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,"If you wish to restrict the uses and disclosures of your protected health information, amend, or receive an accounting of the disclosures of your protected health information, then you must do so through your healthcare provider.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
458,then you must do so through your healthcare provider.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
459,there may be some limitations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,"Even without accepting cookies, you can access most of the features of the Coffee Review website. However, there may be some limitations on your use of some site functionality.  ",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
461,opt-out section,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
462,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,without your permission.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
464,You can usually modify your browser setting to decline cookies if you prefer.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
465,"If you choose to decline cookies, you may not be able to fully experience the interactive features of this or other Web sites you visit.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,"Instructions to remove an email address are located on the bottom of every promotional email. Alternatively, unsubscribe requests may be handled using our online unsubscription form.",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
467,Instructions to remove an email address are located on the bottom of every promotional email.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
468,our online unsubscription form.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
469,You may set your browser to refuse cookies from any website that you visit.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
470,"When we send you such information by email, you will always have an immediate opportunity to decline further communication. Please use the contact specified in the email",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,"Please use the contact specified in the email so that we can remove you from the list that contains your name. If you are uncertain about whom to contact, you may contact our webmaster at webmaster@si.edu.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Please use the contact specified in the email so that we can remove you from the list that contains your name.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,There may be sites within the Smithsonian's network of Websites where you can opt-in,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
474,"If you decide to opt-out of receiving any further correspondence from a non-Smithsonian entity, please correspond directly with that business or organization to be removed from its mailing list.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
475,requires your consent.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
476,requires your consent,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
477,you do not have to respond to them.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,option to share certain personal information with us,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
479,Unless we get your approval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
480,"You can disable our Web beacon by turning images ""off"" in your email client.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
481,"by turning images ""off"" in your email client.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
482,visit the DAA opt-out program the Evidon opt-out program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
483,download the Evidon Ad Control application,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
484,visit the Network Advertising Initiative's opt out page.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
485,visit the DAA opt-out program the Evidon opt-out program to learn how to opt out of having your information collected in browsers for ad serving purposes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
486,when we have your consent.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
487,go to the opt-out page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
488,"  If The Motley Fool is involved in a merger, acquisition, or sale of all or a portion of its assets, you will be notified via email and/or a prominent notice on our Web site of any change in ownership or uses of your personal information, as well as any choices you may have regarding your personal information.  ",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
489,opt-out page,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
490,you can let us know on our opt-out page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
491,"Another way is to simply to click the ""unsubscribe"" link",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
492,let us know on our opt-out page,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
493,opt out again,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
494,"To cancel any of your free email subscriptions, do so at your Account Settings page or click the unsubscribe link within the emails.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
495,click the unsubscribe link,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
496,do so at your Account Settings page,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
497,Account Settings page,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
498,by using the sites and providing us,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,"If you do not wish to share your PIN, you always have the option to not provide the information or use the MediaNews Web sites that require it.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,you may email us at,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,"opt-out of such messages by going to the ""Manage an Account""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
502,"may opt-out of such messages by going to the ""Manage an Account"" page and simply unclicking an opt-in box",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
503,"you may email us at privacycoordinator@medianewsgroup.com or write to us at: Privacy Coordinator, MediaNews Group Interactive, 101 W. Colfax Ave., Suite 950, Denver, CO 80202.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,"Manage an Account""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
505,e-mail us,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,"you may opt-out of such messages by going to the ""Manage an Account"" page and simply unclicking an opt-in box",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
507,"you may e-mail us at privacycoordinator@medianewsgroup.com or write to us at: Privacy Coordinator, MediaNews Group Interactive, 101 W. Colfax Ave., Suite 950, Denver, CO 80202. Please reference the name of the applicable site.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
