,Clause,Category
405,unsubscribe by following the instructions in the e-mail,Other
406,"Please send us your name, phone number, and e-mail and postal addresses and which communications you would like to opt-out of from Food Allergy Research & Education.",Opt-out via contacting company
407,"Please send us your name, phone number, and e-mail and postal addresses and which communications you would like to opt-out of from Food Allergy Research & Education. Your e-mail address is never shared with third parties without your express consent.",Opt-out via contacting company
408,Please send us,Opt-out via contacting company
409,your requests,Other
410,please notify us by emailing contactfare@foodallergy.org or calling 800-929-4040.,Opt-out via contacting company
411,"If you prefer not to receive e-mail communications or postal mail or telephone calls from Food Allergy Research & Education, please notify us by emailing contactfare@foodallergy.org or calling 800-929-4040.",Opt-out via contacting company
412,By using our website,Dont use service/feature
413,"By using our website, you agree",Unspecified
414,Opting Out of IFSA-Butler Communications,Opt-out via contacting company
415,can be updated or modified at any time by calling (800) 858-0229 or emailing studyabroad@ifsa-butler.org.,Opt-out via contacting company
416,"you may opt out by contacting us at (800) 858-0229 or by mail at: 1100 W. 42nd Street, Suite 305 Indianapolis, IN 46208-3345",Opt-out via contacting company
417,"If you wish to no longer receive all communications from IFSA-Butler, you may opt out by contacting us at (800) 858-0229 or by mail at: 1100 W. 42nd Street, Suite 305 Indianapolis, IN 46208-3345",Opt-out via contacting company
418,"you may opt out by contacting us at (800) 858-0229 or by mail at: 1100 W. 42nd Street, Suite 305 Indianapolis, IN 46208-3345",Opt-out via contacting company
419,Please see the Choice and Opt-out sections.,Unspecified
420,Please see the Choice and Opt-out sections,Opt-out link
421,'opt-out',Opt-out link
422,Our users are given the opportunity to 'opt-out',Other
423,our order form has an 'opt-out' mechanism,Unspecified
424,'opt-out',Opt-out link
425,may opt-out of receiving these communications by replying to unsubscribe in the subject line in the email.,Other
426,may opt-out of receiving these communications by replying to unsubscribe in the subject line in the email.,Opt-out via contacting company
427,replying to unsubscribe in the subject line in the email,Opt-out via contacting company
428,The friend may contact,Opt-out via contacting company
429,You can give us information directly,Opt-in
430,You can give us information directly.,Opt-in
431,You can give us information directly.,Opt-in
432,You can give us information directly.,Opt-in
433,You can give us information directly.,Opt-in
434,You can give us information directly.,Opt-in
435,You can give us information directly.,Opt-in
436,You can give us information directly.,Opt-in
437,the opportunity to opt out,Other
438,visit AOL Marketing Preferences to review your marketing preferences and make choices about how your information may be used to provide marketing offers to you,First-party privacy controls
439,you can visit AOL Marketing Preferences to review your marketing preferences and make choices about how your information may be used to provide marketing offers to you,First-party privacy controls
440,"Note that these preferences do not apply to communications that are directly related to your registration with AOL or the fulfillment of a specific transaction you have requested (for example, a service advisory from AOL or an acknowledgment of a purchase order).",Dont use service/feature
441,"Note that these preferences do not apply to communications that are directly related to your registration with AOL or the fulfillment of a specific transaction you have requested (for example, a service advisory from AOL or an acknowledgment of a purchase order).",Dont use service/feature
442,you can visit AOL Marketing Preferences,First-party privacy controls
443,opt out of receiving targeted ads from AOL by visiting the Digital Advertising Alliance's consumer choice page and selecting AOL Advertising.,Other
444,opt out of receiving targeted ads from AOL by visiting the Digital Advertising Alliance's consumer choice page and selecting AOL Advertising.,Other
445,You can also opt out of receiving targeted ads from AOL by visiting the Digital Advertising Alliance's consumer choice page and selecting AOL Advertising.,First-party privacy controls
446,by visiting the Digital Advertising Alliance's consumer choice page,Third-party privacy controls
447,may also offer you the ability to manage and control information collected or used,First-party privacy controls
448,may also offer you the ability to manage and control information collected or used,Unspecified
449,"  Some of our Services ( AOL Search and Netscape ISP, for example) may also offer you the ability to manage and control information collected or used when you use these services.  ",Unspecified
450,"  Some of our Services ( AOL Search and Netscape ISP, for example) may also offer you the ability to manage and control information collected or used when you use these services.  ",Unspecified
451,"By using our Services or by providing us with your information, you consent to this collection, transfer, storage, and processing of information",Dont use service/feature
452,"By using our Services or by providing us with your information, you consent to this collection, transfer, storage, and processing of information",Dont use service/feature
453,"By using our Services or by providing us with your information, you consent to this collection, transfer, storage, and processing of information",Dont use service/feature
454,"By using our Services or by providing us with your information, you consent to this collection, transfer, storage, and processing of information",Dont use service/feature
455,You are not required to provide information about yourself when you visit our Sites,Other
456,"If you sign up to receive any newsletters or updates from us through our Sites, or if you otherwise receive promotional communications from us, you will be able to opt-out of those communications by following the procedures described within the communication itself.",Opt-out link
457,You also may contact us to opt-out from promotional communications that we send.,Opt-out via contacting company
458,If you sign up to receive any newsletters,Opt-in
459,You also may contact us to opt-out,Opt-out via contacting company
460,you will be able to opt-out of those communications by following the procedures described within the communication itself,Other
461,You also may contact us to opt-out from promotional communications that we send.,Opt-out via contacting company
462,"Most web browsers automatically accept cookies, but they also offer a user the ability to block them. Doing so may prevent you from using some of the features of our Sites. Instructions for blocking cookies can be found in your browser help tab.",Browser/device privacy controls
463,"Most web browsers automatically accept cookies, but they also offer a user the ability to block them. Doing so may prevent you from using some of the features of our Sites. Instructions for blocking cookies can be found in your browser help tab.",Browser/device privacy controls
464,You can also learn more about how cookies and other technologies are used to target advertisements to your browser at www.networkadvertising.org/understanding-online-advertising.,Opt-out link
465,Instructions for blocking cookies can be found in your browser help tab.,Browser/device privacy controls
466,"Most web browsers automatically accept cookies, but they also offer a user the ability to block them.",Browser/device privacy controls
467,You can also learn more about specific companies we allow to place cookies on our Sites and their policies regarding use of that data and advertising targeting here.,Other
468,opt out of the service may be found in the emails you receive.,Opt-out link
469,opt out,Opt-out link
470,opt out of the service may be found in the emails you receive.,Other
471,opt out of the service may be found in the emails you receive.,Other
472,you may not be able to use or participate in some or all of the features offered through the Site.,Dont use service/feature
473,you may not be able to use or participate in some or all of the features offered through the Site.,Dont use service/feature
474,"Your Choices. When we request information from you on the Site, you may always choose not to provide us with that information. But if you decline to supply or provide us with certain information while using the Site, you may not be able to use or participate in some or all of the features offered through the Site.",Dont use service/feature
475,browsers,Browser/device privacy controls
476,"opt out of information collection practices by many third parties, visit the Digital Advertising Alliance's website at www.aboutads.info.",Third-party privacy controls
477,most Web browsers allow you to disable certain functionality or set certain privacy setting,Browser/device privacy controls
478,visit the Digital Advertising Alliance's website at www.aboutads.info.,Opt-out link
479,"If you want to limit the information that is automatically collected while you use our Site, most Web browsers allow you to disable certain functionality or set certain privacy setting.",Browser/device privacy controls
480,"If you would like more information on how to opt out of information collection practices by many third parties, visit the Digital Advertising Alliance's website at www.aboutads.info.",Third-party privacy controls
481,do not w,Opt-out via contacting company
482,send a letter to the Online Privacy Coordinator whose contact information is listed at the end of this Privacy Notice.,Opt-out via contacting company
483,"If you do not wish certain information to be shared for these purposes, send a letter to the Online Privacy Coordinator whose contact information is listed at the end of this Privacy Notice.",Opt-out via contacting company
484,"opt out of the use of cookies by DoubleClick,",Third-party privacy controls
485,"opt out of the use of cookies by DoubleClick,",Third-party privacy controls
486,"You can opt out of the use of cookies by DoubleClick, one of our service providers, by visiting http://www.google.com/intl/en/policies/privacy.",Opt-out link
487,"if you would like more information on how to opt out of a service provider's information collection practices, go to www.aboutads.info.",Opt-out link
488,"if you would like more information on how to opt out of a service provider's information collection practices, go to www.aboutads.info.",Opt-out link
489,"if you would like more information on how to opt out of a service provider's information collection practices, go to www.aboutads.info. You can opt out of the use of cookies by DoubleClick, one of our service providers, by visiting http://www.google.com/intl/en/policies/privacy. Additionally, many of our advertising service providers are members of the Network Advertising Initiative (""NAI""). You can obtain more information about these advertising service providers' information collection practices, and opt out of such practices (and at the same time opt out of the collection practices of other, or all, NAI members) by following the opt out instructions on the NAI's website at http://www.networkadvertising.org/managing/opt_out.asp.If you would like more information on how to opt out of information collection practices, go to www.aboutads.info.",Third-party privacy controls
490,"The use and collection of information by third-party advertising service providers are governed by the relevant third party's Privacy Notice and are not covered by our Privacy Notice. If you would like more information about the information collection practices of a particular service provider, or if you would like more information on how to opt out of a service provider's information collection practices, go to www.aboutads.info. You can opt out of the use of cookies by DoubleClick, one of our service providers, by visiting http://www.google.com/intl/en/policies/privacy. Additionally, many of our advertising service providers are members of the Network Advertising Initiative (""NAI""). You can obtain more information about these advertising service providers' information collection practices, and opt out of such practices (and at the same time opt out of the collection practices of other, or all, NAI members) by following the opt out instructions on the NAI's website at http://www.networkadvertising.org/managing/opt_out.asp.If you would like more information on how to opt out of information collection practices, go to www.aboutads.info.  ",Third-party privacy controls
491,o opt out,First-party privacy controls
492,"Finally, to learn how to remove cookies, you may visit these links: deleting cookies and deleting flash cookies.",Opt-out link
493,"Many ad companies are members of the Network Advertising Initiative. NAI members allow users to opt out of being tracked by cookies. To opt out of cookie tracking by NAI members, you may visit http://www.networkadvertising.org/ and click on the ""Consumer Opt-out"" button. Companies may also be members of the Digital Advertising Alliance (""DAA"") and to opt out of cookie tracking by DAA members, you may visit http://www.aboutads.info/choices/.",Third-party privacy controls
494,"To opt out of cookie tracking by NAI members, you may visit http://www.networkadvertising.org/ and click on the ""Consumer Opt-out"" button.",Opt-out link
495,"Opt-out""",Third-party privacy controls
496,by writing to our Legal Department at our corporate address below,Opt-out via contacting company
497,by writing to our Legal Department at our corporate address below,Opt-out via contacting company
498,account,First-party privacy controls
499,we not send you communications or share your personal information by writing to our Legal Department at our corporate address below or by visiting your account information section for each site or app.,Opt-out via contacting company
500,may request that Dictionary.com LLC not disclose your personal information to third parties.,Opt-out via contacting company
501,at the time you register,First-party privacy controls
502,"you may request that Dictionary.com LLC not disclose your personal information to third parties. You may do so either at the time you register or by contacting us by writing to us at Dictionary.com LLC, ATTN: Legal Department, 555 12th Street, 5th Floor, Oakland, CA 94607.",Opt-out via contacting company
503,"you may request that Dictionary.com LLC not disclose your personal information to third parties. You may do so either at the time you register or by contacting us by writing to us at Dictionary.com LLC, ATTN: Legal Department, 555 12th Street, 5th Floor, Oakland, CA 94607.",Opt-out via contacting company
504,You should note that cookies may be necessary to provide you with certain features on the Websites.,Dont use service/feature
505,http://www.networkadvertising.org/managing/opt_out.asp,Opt-out link
506,The emails that we send contain links that enable you to unsubscribe from such mailings.,Opt-out link
507,"At any time, you can contact Prometheus Global Media at 1-800-658-8372 and terms@prometheusgm.com to request that we not share your Personally Identifiable Information with third parties.",Opt-out via contacting company
508,not,Opt-out link
509,not,Opt-out link
510,"If you prefer not to receive traditional mail or other off-line promotions from this or any other Time Inc. property, or if you want to opt-out of any sharing of your personally identifiable offline information with third parties not owned by Time Inc., please click here.",Opt-out link
511,"if you want to opt-out of any sharing of your personally identifiable offline information with third parties not owned by Time Inc., please click here.",Opt-out link
512,please click here.,Opt-out link
513,please click here.,Opt-out link
514,not,Opt-out link
515,not,Opt-out link
516,"If you prefer not to receive e-mail marketing from this or any other Time Inc. property, or if you want to opt-out of any sharing of your email address with third parties not owned by Time Inc., please click here.",Opt-out link
517,"If you prefer not to receive e-mail marketing from this or any other Time Inc. property, or if you want to opt-out of any sharing of your email address with third parties not owned by Time Inc., please click here.",Opt-out link
518,please click here.,Opt-out link
519,please click here.,Opt-out link
520,Time Inc. sites will not use or transfer personally identifiable information provided to us in ways unrelated to the ones described above without also providing you with an opportunity to opt out of these unrelated uses.,Opt-in
521,"As discussed above, if you wish to opt-out of our sharing of your information with third parties for the third parties' direct marketing purposes offline please click here, or for email please click here.",Opt-out link
522,"For more information on advertisements and your behavioral advertising options, visit our About Ads page and our Network Advertising Initiatives page.",Third-party privacy controls
523,browser option so that you will not receive cookies and you can also delete existing cookies from your browser,Browser/device privacy controls
524,You can set your browser option so that you will not receive cookies and you can also delete existing cookies from your browser.,Browser/device privacy controls
525,You can set your browser option so that you will not receive cookies and you can also delete existing cookies from your browser,Browser/device privacy controls
526,"on managing Flash cookies, for example, see http://helpx.adobe.com/flash-player/kb/disable-local-shared-objects-flash.htm",Third-party privacy controls
527,"Depending on how local shared objects are enabled on your computer or device, you may be able to manage them using software settings",Browser/device privacy controls
528,"By contacting us, you may also object to our further use of your personal information if you have compelling legitimate grounds",Opt-out via contacting company
529,You can visit our Web Sites without sharing personally identifiable information.,Opt-in
530,You can visit our Web Sites without sharing personally identifiable information.,Other
531,"You can visit our Web Sites without telling us who you are and without revealing any personally identifiable information to learn about American Honda, American Honda Finance Corporation (""AHFC""), our product and service information, special offers and promotions, and investor information. You can also access financial planning tools.",Other
532,"You can visit our Web Sites without telling us who you are and without revealing any personally identifiable information to learn about American Honda, American Honda Finance Corporation (""AHFC""), our product and service information, special offers and promotions, and investor information. You can also access financial planning tools.",Other
533,You have the ability to accept or decline cookies.,First-party privacy controls
534,"If you wish to not have this information used for the purpose of serving you targeted ads, you may opt-out by going to: http://preferences.truste.com/preference.html?affiliateId=99.",Opt-out link
535,are also encouraged to see the American Honda Finance Corporation Financial Privacy Policy below to learn more about protections and use of your nonpublic personal information (such as personally identifiable financial information).,Other
536,are also encouraged to see the American Honda Finance Corporation Financial Privacy Policy below to learn more about protections and use of your nonpublic personal information (such as personally identifiable financial information).,Other
537,You may build a Honda model of your choice without providing personally identifiable information.,Opt-in
538,to opt-in,Opt-in
539,choose to opt-in,Opt-in
540,choose whether you would like to receive additional information on Motorcycle products or whether you would like to email the link to a friend.,Opt-in
541,opt-in,Opt-in
542,you may choose to participate in the HRCA member directory.,Opt-in
543,you may choose,Opt-in
544,You are given the option of providing us,Other
545,You are given the option of providing us,Other
546,You may obtain investor relations information without providing personally identifiable information.,Opt-in
547,Email Sign Up. You may choose to,Opt-in
548,You may choose to sign up,Opt-in
549,unsubscribe,Opt-out link
550,NaturalNews.com honors all email unsubscribe requests,Opt-out via contacting company
551,"unsubscribe"" link",Opt-out link
552,"To opt-out of NaturalNews emails, simply click the ""unsubscribe"" link found at the bottom of any email from NaturalNews.",Opt-out link
553,"To opt-out of NaturalNews emails, simply click the ""unsubscribe"" link found at the bottom of any email from NaturalNews.",Opt-out link
554,unsubscribing,Opt-out via contacting company
555,"If you experience any difficulty unsubscribing, simply forward this entire email to reply@naturalnews.com and you will be automatically unsubscribed.",Opt-out via contacting company
556,disable,Browser/device privacy controls
557,"However, users can disable cookies by changing their browser settings.",Browser/device privacy controls
558,"However, users can disable cookies by changing their browser settings.",Browser/device privacy controls
559,opt out of these communications.,Opt-out link
560,Users may opt out of these communications. Instructions for discontinuing receipt of promotional email communications from Valve will be provided in email communications to users.,Opt-out link
561,Valve gives users the option to receive promotional email communications from Valve. Users may opt out of these communications. Instructions for discontinuing receipt of promotional email communications from Valve will be provided in email communications to users.,Unspecified
562,please do not use our sites or services.,Dont use service/feature
563,please do not use our sites or services.,Dont use service/feature
564,please do not use our sites or services.,Dont use service/feature
565,"By using our sites and services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this privacy policy. If you do not agree to this privacy policy, please do not use our sites or services.",Dont use service/feature
566,"By using our sites and services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this privacy policy. If you do not agree to this privacy policy, please do not use our sites or services.",Dont use service/feature
567,"By using our sites and services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this privacy policy. If you do not agree to this privacy policy, please do not use our sites or services.",Dont use service/feature
568,"If you do not agree to this privacy policy, please do not use our sites or services.",Dont use service/feature
569,"If you do not agree to this privacy policy, please do not use our sites or services.",Dont use service/feature
570,"If you do not agree to this privacy policy, please do not use our sites or services.",Dont use service/feature
571,"you may elect to download certain installed tools, which may collect and transmit information",Unspecified
572,you voluntarily and directly provide it,Opt-in
573,"By visiting our sites and services, you consent",Dont use service/feature
574,You may choose to publicly disclose,Other
575,You may choose to,Opt-in
576,going to the settings of your mobile device,Browser/device privacy controls
577,going to the settings of your mobile device,Browser/device privacy controls
578,device's settings for the relevant application.,Browser/device privacy controls
579,going to the settings of your mobile device and reviewing the permissions of each application. You may stop further use of your geo-location by visiting your device's settings for the relevant application.,Browser/device privacy controls
580,going to the settings of your mobile device and reviewing the permissions of each application. You may stop further use of your geo-location by visiting your device's settings for the relevant application.,Browser/device privacy controls
581,by going to the settings of your mobile device,Browser/device privacy controls
582,by going to the settings of your mobile device,Browser/device privacy controls
583,by visiting your device's settings,Browser/device privacy controls
584,visiting your email preferences page for the relevant site.,First-party privacy controls
585,You may change your email preferences at any time by visiting your email preferences page for the relevant site.,First-party privacy controls
586,"Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.",Opt-out link
587,"To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""",Other
588,"Contact us. Please provide your name, contact information, and specific relevant information that you no longer wish to receive.",Opt-out via contacting company
589,"Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.",Opt-out link
590,"To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""",Browser/device privacy controls
591,Return to the web page(s) where you originally registered your preferences and follow the opt-out instructions.,First-party privacy controls
592,"Contact us. Please provide your name, contact information, and specific relevant information that you no longer wish to receive.",Opt-out via contacting company
593,"To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""",Other
594,Return to the web page(s) where you originally registered your preferences and follow the opt-out instructions.,First-party privacy controls
595,Contact us.,Opt-out via contacting company
596,Contact us.,Opt-out via contacting company
597,"Select the email ""opt out"" or ""unsubscribe"" link",Opt-out link
598,follow the opt-out instructions included in each email communication,Unspecified
599,You may not be able to opt out of receiving certain messages although our services may provide a means to modify the frequency of receiving them.,Other
600,You may not be able to opt out,Other
601,although our services may provide a means to modify the frequency of receiving them.,Unspecified
602,"Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.",Opt-out link
603,"To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""",Other
604,"Contact us. Please provide your name, relevant contact information, and specific relevant information about your privacy preferences.",Opt-out via contacting company
605,"Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.",Opt-out link
606,"To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""",First-party privacy controls
607,"Contact us. Please provide your name, relevant contact information, and specific relevant information about your privacy preferences.",Opt-out via contacting company
608,"Select the email ""opt out"" or ""unsubscribe"" link",Opt-out link
609,follow the opt-out instructions included in each email communication,Unspecified
610,"To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""",Other
611,Contact us.,Opt-out via contacting company
612,Contact us.,Opt-out via contacting company
613,"If you wish to restrict the uses and disclosures of your protected health information, amend, or receive an accounting of the disclosures of your protected health information, then you must do so through your healthcare provider.",Third-party privacy controls
614,then you must do so through your healthcare provider.,Other
615,then you must do so through your healthcare provider.,Other
616,there may be some limitations,Dont use service/feature
617,"Even without accepting cookies, you can access most of the features of the Coffee Review website. However, there may be some limitations on your use of some site functionality.  ",Unspecified
618,opt-out section,Opt-out link
619,opt-out,Unspecified
620,opt-out,Unspecified
621,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.",Dont use service/feature
622,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.",Dont use service/feature
623,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.",Dont use service/feature
624,without your permission.,Opt-in
625,You can usually modify your browser setting to decline cookies if you prefer.,Browser/device privacy controls
626,"If you choose to decline cookies, you may not be able to fully experience the interactive features of this or other Web sites you visit.",Dont use service/feature
627,"Instructions to remove an email address are located on the bottom of every promotional email. Alternatively, unsubscribe requests may be handled using our online unsubscription form.",Opt-out link
628,"Instructions to remove an email address are located on the bottom of every promotional email. Alternatively, unsubscribe requests may be handled using our online unsubscription form.",First-party privacy controls
629,Instructions to remove an email address are located on the bottom of every promotional email.,Unspecified
630,our online unsubscription form.,First-party privacy controls
631,You may set your browser to refuse cookies from any website that you visit.,Browser/device privacy controls
632,"When we send you such information by email, you will always have an immediate opportunity to decline further communication. Please use the contact specified in the email",Opt-out via contacting company
633,"Please use the contact specified in the email so that we can remove you from the list that contains your name. If you are uncertain about whom to contact, you may contact our webmaster at webmaster@si.edu.",Opt-out via contacting company
634,Please use the contact specified in the email so that we can remove you from the list that contains your name.,Opt-out via contacting company
635,There may be sites within the Smithsonian's network of Websites where you can opt-in,Opt-in
636,"If you decide to opt-out of receiving any further correspondence from a non-Smithsonian entity, please correspond directly with that business or organization to be removed from its mailing list.",Third-party privacy controls
637,opt-in,Opt-in
638,opt-in,Opt-in
639,requires your consent.,Opt-in
640,requires your consent,Opt-in
641,you do not have to respond to them.,Dont use service/feature
642,option to share certain personal information with us,Opt-in
643,option to share certain personal information with us,Opt-in
644,Unless we get your approval,Other
645,"You can disable our Web beacon by turning images ""off"" in your email client.",Browser/device privacy controls
646,"by turning images ""off"" in your email client.",Browser/device privacy controls
647,visit the DAA opt-out program the Evidon opt-out program,Other
648,download the Evidon Ad Control application,Browser/device privacy controls
649,visit the Network Advertising Initiative's opt out page.,Other
650,visit the DAA opt-out program the Evidon opt-out program to learn how to opt out of having your information collected in browsers for ad serving purposes,Third-party privacy controls
651,when we have your consent.,Opt-in
652,go to the opt-out page,Other
653,"  If The Motley Fool is involved in a merger, acquisition, or sale of all or a portion of its assets, you will be notified via email and/or a prominent notice on our Web site of any change in ownership or uses of your personal information, as well as any choices you may have regarding your personal information.  ",Unspecified
654,opt-out page,Opt-out link
655,you can let us know on our opt-out page,Other
656,you can let us know on our opt-out page,Other
657,"Another way is to simply to click the ""unsubscribe"" link",Opt-out link
658,let us know on our opt-out page,Opt-out link
659,opt out again,Opt-out link
660,"To cancel any of your free email subscriptions, do so at your Account Settings page or click the unsubscribe link within the emails.",First-party privacy controls
661,click the unsubscribe link,Opt-out link
662,do so at your Account Settings page,First-party privacy controls
663,Account Settings page,Opt-out link
664,by using the sites and providing us,Dont use service/feature
665,opt-in,Opt-in
666,opt-in,Opt-in
667,opt-in,Opt-in
668,opt-in,Opt-in
669,"If you do not wish to share your PIN, you always have the option to not provide the information or use the MediaNews Web sites that require it.",Dont use service/feature
670,"If you do not wish to share your PIN, you always have the option to not provide the information or use the MediaNews Web sites that require it.",Dont use service/feature
671,"If you do not wish to share your PIN, you always have the option to not provide the information or use the MediaNews Web sites that require it.",Dont use service/feature
672,you may email us at,Opt-out via contacting company
673,"opt-out of such messages by going to the ""Manage an Account""",First-party privacy controls
674,"may opt-out of such messages by going to the ""Manage an Account"" page and simply unclicking an opt-in box",First-party privacy controls
675,"you may email us at privacycoordinator@medianewsgroup.com or write to us at: Privacy Coordinator, MediaNews Group Interactive, 101 W. Colfax Ave., Suite 950, Denver, CO 80202.",Opt-out via contacting company
676,"Manage an Account""",First-party privacy controls
677,e-mail us,Opt-out via contacting company
678,"you may opt-out of such messages by going to the ""Manage an Account"" page and simply unclicking an opt-in box",First-party privacy controls
679,"you may e-mail us at privacycoordinator@medianewsgroup.com or write to us at: Privacy Coordinator, MediaNews Group Interactive, 101 W. Colfax Ave., Suite 950, Denver, CO 80202. Please reference the name of the applicable site.",Opt-out via contacting company
680,"you may opt-out of such messages by going to the ""Manage an Account"" page and simply unclicking an opt-in box o",First-party privacy controls
681,"you may e-mail us at privacycoordinator@medianewsgroup.com or write to us at: Privacy Coordinator, MediaNews Group Interactive, 101 W. Colfax Ave., Suite 950, Denver, CO 80202.",Opt-out via contacting company
682,you may choose to opt out of their use by modifying your browser options.,Browser/device privacy controls
683,you may need to submit,Opt-in
684,"o exclude your personal information from our direct marketing purposes, please feel free to contact us at:",Opt-out via contacting company
685,which you may unsubscribe from at any time using the unsubscribe link at the bottom of the email.,Opt-out link
686,which you may unsubscribe from at any time using the unsubscribe link at the bottom of the email.,Opt-out link
687,you can set your browser,Browser/device privacy controls
688,you can set your browser,Browser/device privacy controls
689,you can set your browser,Browser/device privacy controls
690,you can set your browser,Browser/device privacy controls
691,By using the Site,Dont use service/feature
692,By using the Site,Dont use service/feature
693,"By using the Site, you consent to the collection and use",Other
694,"By using the Site, you consent to the collection and use",Other
695,by first logging onto Facebook (using your Facebook user name and password).,Opt-in
696,by first logging onto Facebook (using your Facebook user name and password).,Opt-in
697,you may opt out of such advertising by going to the Network Advertising Initiative's consumer opt-out page located at http://www.networkadvertising.org/managing/opt_out.asp.,Opt-out link
698,"choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies",First-party privacy controls
699,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies. You do this through your browser",Browser/device privacy controls
700,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies. You do this through your browser (e.g. Microsoft Internet Explorer, Mozilla Firefox, Google Chrome, or Apple Safari) settings. Each browser is a little different, so look at your browser Help menu to learn the correct way to modify your cookies.",Browser/device privacy controls
701,you can disable the GPS functionality on your mobile device,Browser/device privacy controls
702,choose not to submit current location when prompted.,Dont use service/feature
703,you can disable the GPS functionality on your mobile device or choose not to submit current location when prompted.,Browser/device privacy controls
704,you can disable the GPS functionality on your mobile device,Browser/device privacy controls
705,or choose not to submit current location when prompted.,Opt-in
706," The Internet and Your Information Security    Our web sites, allstate.com and miallstate.com, provides information about us, our products, and the agencies and brokers that represent us. You may also perform some transactions on the web site. This Privacy Statement applies to users of allstate.com and miallstate.com, regardless of whether the user is an Allstate customer.  ",Unspecified
707,You may opt out of accepting cookies by changing the settings on your browser.,Browser/device privacy controls
708,You may opt out of accepting cookies by changing the settings on your browser.,Browser/device privacy controls
709,You may opt out of accepting cookies by changing the settings on your browser.,Browser/device privacy controls
710,You may opt out of accepting cookies by changing the settings on your browser.,Browser/device privacy controls
711,"If you do not wish to receive promotional e-mails from us, please contact us at the following address:",Opt-out via contacting company
712,opt-out by following the unsubscribe link located at the bottom of each communication,Opt-out link
713,contacting us at the e-mail address listed above.,Opt-out via contacting company
714,"If you no longer wish to receive certain email communications from us, you may opt-out by following the unsubscribe link located at the bottom of each communication or by contacting us at the e-mail address listed above.",Opt-out link
715,you may opt-out by following the unsubscribe link located at the bottom of each communication,Opt-out link
716,by contacting us at the e-mail address listed above.,Opt-out via contacting company
717,"However, you can request that Allstate and its affiliate companies",Opt-out via contacting company
718,"you can contact us by calling 1-800-856-2518 twenty-four hours a day, seven days a week.",Opt-out via contacting company
719,"you can contact us by calling 1-800-856-2518 twenty-four hours a day, seven days a week.",Opt-out via contacting company
720,"you have the option to be placed on our internal ""do not call"" list. (Please disregard this notice if you have already been added to Allstate's internal ""do not call"" list.) You may make this request in the following convenient ways: Contact your local Allstate agency Call 1-800-ALLSTATE and speak with a customer representative Visit allstate.com, click on Contact Us and send us an e-mail Write to us at Allstate Insurance Company, Attn: Customer Service, P.O.Box 40047, Roanoke, VA 24022-0047",Opt-out via contacting company
721,"By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy.",Other
722,"clicking on the ""unsubscribe"" link attached to each email.",Opt-out link
723,"Most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether.",Browser/device privacy controls
724,"You can stop your computer from storing cookies if you want to. Most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. You should look in the ""help"" area shown on your browser's toolbar. Because cookies allow you to have the benefit of our personalized features, we recommend that you leave them turned on. You MUST have cookies enabled in order to checkout on our Websites.",Browser/device privacy controls
725,"Most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. You should look in the ""help"" area shown on your browser's toolbar.",Browser/device privacy controls
726,"If, after receiving a non-order related email, you do not want to receive such emails in the future, you can notify us, by clicking on the ""unsubscribe"" link attached to each email.",Opt-out link
727,"you wish to no longer receive phone calls from us, you can inform the caller or follow the prompt instructions.",Opt-out via contacting company
728,"by clicking on the ""unsubscribe"" link attached to each email",Opt-out link
729,"If after receiving a phone call, you wish to no longer receive phone calls from us, you can inform the caller or follow the prompt instructions.",Opt-out via contacting company
730,"If we want to share personal information other than as permitted or described above, we will notify you, and you may choose to instruct us not to share the information.",Opt-in
