,Clause,Category
218,"Generally speaking, one-way hashing is a way to anonymize or hide data by transforming pieces of information into fixed strings of alphanumeric characters.",Secure data storage
219,"For example, when the e-mail address 'U13user@dictionary.com' is hashed, the result or ""hash value"" might be 'a8der13ap69'. Every time that hash function is applied to that e-mail address the result will be the same. It is called one-way hashing because the function allows you to convert the data only one way. So while it is possible to convert an e-mail address into a hash value, it is not possible to convert that value back into the e-mail address.",Other
220,"When the user forgets the password associated with the account, we request the original email address, hash it, and then compare the two hash values. If they match, we e-mail the password reminder to the user and then immediately discard the e-mail again.",Other
221,"we will require by contract that they agree to maintain the confidentiality, security and integrity of such information.",Other
222,We attempt to follow policies and procedures that will protect against unauthorized access to your Personally Identifiable Information.,Generic
223,"Prometheus Global Media cannot ensure or warrant the security or privacy of any information you transmit to us. We attempt to follow policies and procedures that will protect against unauthorized access to your Personally Identifiable Information. But we can make no guarantees or promises in this regard, and you provide information to us at your own risk.",Generic
224,"Agents and contractors of Time Inc. that have access to personally identifiable information are required to protect this information in a manner that is consistent with this Privacy Policy by, for example, not using the information for any purpose other than to carry out the services they are performing for Time Inc.",Generic
225,"Although we take appropriate measures to safeguard against unauthorized disclosures of information, we cannot assure you that personally identifiable information that we collect will never be disclosed in a manner that is inconsistent with this Privacy Policy. Inadvertent disclosures may result, for example, when third parties misrepresent their identities in asking the site for access to personally identifiable information about themselves for purposes of correcting possible factual errors in the data.",Generic
226,"We have put in place appropriate administrative, technical, and physical safeguards to help prevent unauthorized access, maintain data security and correctly use the information we collect. No system can be completely secure, however, and we do not guarantee that unauthorized disclosures and access will not happen.",Generic
227,"We have put in place appropriate administrative, technical, and physical safeguards to help prevent unauthorized access, maintain data security and correctly use the information we collec",Privacy/Security program
228,"No system can be completely secure, however, and we do not guarantee that unauthorized disclosures and access will not happen.",Generic
229,"In addition, we have security procedures and policies in place to safeguard against loss, theft, unauthorized access, destruction, misuse, and modification of this information after we receive it.",Privacy/Security program
230,"American Honda has reasonable security measures in place to protect your personally identifiable information. This information is protected while being transmitted through a Secured Sockets Layer (SSL) connection. Most web pages that display personally identifiable information are encrypted using 128-bit SSL, which is an industry standard.",Secure data transfer
231,"The following brands' brochure requests, however, are not transmitted through a SSL connection: Engine, Marine, and Power Equipment. In addition, the Motorcycle brand site does not currently transmit brochure and email notification requests through an SSL connection.",Other
232,"However, perfect security does not exist over the internet. If you are an owners.honda.com/owners.acura.com registrant, you can help protect your personally identifiable information by selecting the ""Log Out"" icon before you close your browser.",Generic
233,This information is protected while being transmitted through a Secured Sockets Layer (SSL) connection.,Secure data transfer
234,American Honda has reasonable security measures in place to protect your personally identifiable information.,Generic
235,"This information is protected while being transmitted through a Secured Sockets Layer (SSL) connection. Most web pages that display personally identifiable information are encrypted using 128-bit SSL, which is an industry standard. The following brands' brochure requests, however, are not transmitted through a SSL connection: Engine, Marine, and Power Equipment. In addition, the Motorcycle brand site does not currently transmit brochure and email notification requests through an SSL connection",Secure data transfer
236,We have installed safeguards to secure and protect the credit card information used for your transactions.,Generic
237,"American Honda Finance Corporation (""AHFC"") respects and protects customer privacy. We know privacy is important to you and is vital to our business. As required by law, this document explains our Privacy Policy. We want you to know how we keep our customer information private and secure and how we use the information to provide you a broad range of financial services and products to serve you better.",Generic
238,How do we protect information? We maintain physical and electronic safeguards and have policies and procedures that are intended to prevent unauthorized access to consumer information.,Data access limitation
239,We maintain physical and electronic safeguards and have policies and procedures that are intended to prevent unauthorized access to consumer information.,Generic
240,We maintain physical and electronic safeguards and have policies and procedures that are intended to prevent unauthorized access to consumer information.,Generic
241,to avoid unauthorized access or disclosure of this information.,Secure data storage
242,"Valve has taken reasonable steps to protect the information users share with us, including, but not limited to, setup of processes, equipment and software to avoid unauthorized access or disclosure of this information.",Generic
243,Protecting your privacy and security is important and we also take reasonable steps to verify your identity before granting access to your data.,Generic
244,Protecting your privacy and security is important,Generic
245,we also take reasonable steps to verify your identity,Secure user authentication
246,Secure Socket Layer (SSL) encryption,Secure data transfer
247,housing health data in secure facilities that restrict physical and network access,Secure data storage
248,"Secure Socket Layer (SSL) encryption, firewalls, system alerts and other information system security technologies",Secure data transfer
249,"regular evaluation and enhancement of our information technology systems, facilities, and information collection, storage and processing practices",Privacy review/audit
250,"Under applicable law, we are required to apply reasonable and appropriate measures to safeguard the confidentiality, integrity and availability of individually identifiable health information (as such term is defined by HIPAA) residing on and processed by our sites and services.",Other
251,"Protecting Personal and Protected Health Information The security of our sites and services and the information they store, process and transmit is a top priority. To prevent unauthorized access, maintain data accuracy, and ensure the appropriate use of the information we collect, we deploy a wide range of technical, physical and administrative safeguards,",Generic
252,; housing health data in secure facilities that restrict physical and network access;,Secure data storage
253,"regular evaluation and enhancement of our information technology systems, facilities, and information collection, storage and processing practices.",Privacy review/audit
254,"firewalls, system alerts and other information system security technologies",Other
255,"and regular evaluation and enhancement of our information technology systems, facilities, and information collection, storage and processing practices",Privacy review/audit
256,reasonable and appropriate measures,Unspecified
257,"we collect, we deploy a wide range of technical, physical and administrative safeguards",Generic
258,When you enter payment information we encrypt the transmission of that information using SSL technology and do not store it on our systems.,Secure data transfer
259,payment information we encrypt the transmission of that information using SSL technology,Secure data transfer
260,"We use third-party service providers to manage credit card and payment processing. These service providers are not permitted to store, retain, or use billing Information except for the sole purpose of credit card and payment processing on our behalf.",Data access limitation
261,"It is important to remember, however, that no system can guarantee 100 security at all times. Accordingly, we cannot guarantee the security of information stored on or transmitted to or from our services. We cannot assume responsibility or liability for unauthorized access to our servers and systems. When disclosing any personal or protected health information, you should remain mindful of the fact that it is potentially accessible to the public and,consequently, can be collected and used by others without your consent. Accordingly, you should consider carefully if you want to submit sensitive information that you would not want disclosed to the public and should recognize that your use of the Internet and our sites and services is solely at your risk. You are ultimately responsible for maintaining the secrecy for all your personal information, including your protected health information. Except as provided in aBusiness Associate Agreement between us and a healthcare provider, we have no responsibility or liability to anyone for the security of your personal or protected health information transmitted via the Internet.",Other
262,"Steps You Can Take Install malware detection programs that regularly scan your system and incoming traffic for malicious code such as computer viruses, worms, Trojan Horses and spyware. Because viruses and malware are continuously created and modified, regular malware protection software typically requires frequent updates.",Other
263,Use a firewall to prevent unauthorized access to your device.,Other
264,"Because malware often targets vulnerabilities in existing operating systems, browsers, plug-ins and other programs, software vendors frequently update their products with security patches to guard against known or commonly exploited vulnerabilities. Vendors often try to alert their users and recommend immediate installation of these security patches.",Other
265,Use a strong password using a combination of letters and numbers that are not easily guessed. Do not share your password with others.,Secure user authentication
266,"If you use a shared device, always close all active programs and log out before leaving it unattended.",Other
267,"Avoid using a public wireless network, if possible. If you do use a public network, use the most restrictive wireless network settings on your device.",Other
268,"If you use file-sharing programs, be sure to restrict all other folders or directories to ""no share"".",Other
269,"Be very cautious with any email requesting you to share personal information. On websites, look for the lock symbol on or near your browser's address bar which signifies a secure website before supplying personal information.",Other
270,"When participating in one of our communities, blogs, forums, surveys or other open communication platforms, exercise care in selecting what information you share, particularly personal or health information.",Other
271,"Our sites and services may include collection, transmission and storage of protected health information you submit for healthcare providers or that healthcare providers submit to us and is subject to special rules under the Health Insurance Portability and Accountability Act of 1996 or ""HIPAA"".",Unspecified
272,"If you engaged in our sites and services with that healthcare provider, any protected health information that you submitted with our sites and services or otherwise maintained by us or a subcontractor in connection with our sites and services will be returned to the healthcare provider or destroyed by us or such subcontractor.",Other
273,Abita is committed to protecting your privacy.,Generic
274,"Additionally, when we transmit sensitive personal information (such as a credit card number) over the Internet, we protect it through the use of encryption, such as the Secure Socket Layer (SSL) protocol.",Secure data transfer
275,"Abita is committed to protecting the security of your personal information. We use a variety of security technologies and procedures to help protect your personal information from unauthorized access, use, or disclosure",Generic
276,on computer servers with limited access,Data access limitation
277,located in controlled facilities,Secure data storage
278,"Security of your Personal Information: Abita is committed to protecting the security of your personal information. We use a variety of security technologies and procedures to help protect your personal information from unauthorized access, use, or disclosure.",Generic
279,"For example, we store the personal information you provide on computer servers with limited access that are located in controlled facilities.",Secure data storage
280,"Abita is committed to protecting the security of your personal information. We use a variety of security technologies and procedures to help protect your personal information from unauthorized access, use, or disclosure.",Generic
281,limited access,Data access limitation
282,"These third-party vendors will have access to the information needed to perform their functions, but may not use your information for any other purpose.",Generic
283,"The Smithsonian requires credit card processing be secured based on compliance with Payment Card Industry (PCI) standards. When you use your credit card for any purchase on a Smithsonian Website, that transaction is always encrypted when traveling over the Internet.",Secure data transfer
284,"The Smithsonian takes reasonable steps to design and manage our Websites' technology to ensure that its information technology systems, applications, and information technology infrastructure are secure.",Generic
285,"The Smithsonian requires credit card processing be secured based on compliance with Payment Card Industry (PCI) standards. When you use your credit card for any purchase on a Smithsonian Website, that transaction is always encrypted when traveling over the Internet.",Secure data transfer
286,"The Smithsonian takes reasonable steps to design and manage our Websites' technology to ensure that its information technology systems, applications, and information technology infrastructure are secure.",Generic
287,"The Smithsonian takes reasonable steps to design and manage our Websites' technology to ensure that its information technology systems, applications, and information technology infrastructure are secure",Generic
288,"In addition to limiting access to personal information to those who have a business ""need to know"",",Data access limitation
289,"As appropriate and feasible, the Smithsonian monitors network traffic to identify unauthorized attempts to access, upload, or change information or otherwise cause damage. Unauthorized access and/or unauthorized attempts to change information on Smithsonian Websites are strictly prohibited and punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act.",Secure user authentication
290,"the Smithsonian requires its service providers who help maintain or operate its Websites to contractually agree to protect the confidentiality, integrity, availability and security of the personal information",Privacy/Security program
291,"the Smithsonian monitors network traffic to identify unauthorized attempts to access, upload, or change information or otherwise cause damage. Unauthorized access and/or unauthorized attempts to change information on Smithsonian Websites are strictly prohibited and punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act.",Privacy review/audit
292,"As appropriate and feasible, the Smithsonian monitors network traffic to identify unauthorized attempts to access, upload, or change information or otherwise cause damage",Other
293,"In addition to limiting access to personal information to those who have a business ""need to know""",Data access limitation
294,"the Smithsonian requires its service providers who help maintain or operate its Websites to contractually agree to protect the confidentiality, integrity, availability and security of the personal information.",Privacy/Security program
295,"The Motley Fool, LLC (""The Motley Fool"" or ""we"" or ""us"") is committed to protecting and respecting your privacy.",Generic
296,What kind of security measures do we take to protect your information from accidental loss or disclosure-,Generic
297,We encrypt all of this information using Secure Socket Layers (SSL) technology.,Secure data transfer
298,We encrypt all of this information using Secure Socket Layers (SSL) technology,Secure data transfer
299,encrypted with SSL technology,Secure data transfer
300,We store information you provide us on our secure servers,Secure data storage
301,The Motley Fool is committed to protecting your personal information.,Generic
302,We store information you provide us on our secure servers.,Secure data storage
303,"Further, the information you provide when making a purchase is encrypted with SSL technology.",Secure data transfer
304,the information you provide when making a purchase is encrypted with SSL technology,Secure data transfer
305,Only you have access to these password-protected areas,Secure user authentication
306,"Personalized areas of our sites, such as My Fool, are password-protected.",Data access limitation
307,are password-protected,Secure user authentication
308,"complies with the US-EU Safe Harbor Framework and the US-Swiss Safe Harbor Framework as set forth by the U.S. Department of Commerce regarding the collection, use, and retention of personal information from European Union member countries and Switzerland. The Motley Fool has certified that it adheres to the Safe Harbor Privacy Principles of notice, choice, onward transfer, security, data integrity, access and enforcement. To learn more about the Safe Harbor program, and to view our certification, please visit www.export.gov/safeharbor",Privacy/Security program
309,"While we do our best to protect your personal information,",Generic
310,"The Motley Fool cannot ensure or warrant the security of any information you transmit to us, and you do so at your own risk.",Other
311,you must protect yourself. You are responsible for maintaining the secrecy of any password and/or account information,Data access limitation
312,we do our best to protect your personal information,Generic
313,"MediaNews uses procedures to safeguard and help prevent unauthorized access to the information collected on the MediaNews Web sites. Although such protective measures have been put in place, MediaNews cannot ensure that the information collected will never be disclosed in a manner inconsistent with this Privacy Policy.",Generic
314,securely maintained,Generic
315,"MediaNews requires the agent or contractor to maintain the confidentiality, security and integrity of the information and limit use to the specific services they are performing on our behalf.",Data access limitation
316,We have implemented safeguards to protect any information collected.,Generic
317,Protecting your personal information and privacy is important to the Library.,Generic
318,The Library has implemented safeguards to protect this information,Generic
319,only providing access to designated Library staff members that require this access to perform their duties.,Data access limitation
320,"The Library has implemented safeguards to protect this information, including only providing access to designated Library staff members that require this access to perform their duties.",Data access limitation
321,"The Library has implemented safeguards to protect this information,",Generic
322,including only providing access to designated Library staff members that require this access to perform their duties.,Data access limitation
323,"Each Service Provider must agree to implement and maintain reasonable security procedures and practices appropriate to the nature of your information in order to protect your personal information from unauthorized access, destruction, use, modification, or disclosure.",Secure data storage
324,"We use encryption and authentication tools to protect the security of personal information that you share with us. However, no data transmission over the Internet (or, with respect to our mobile services, over cellular phone networks) can be guaranteed to be 100% secure. As a result, while we strive to protect personal information, we cannot and do not guarantee or warrant the security of any information you transmit to or from the Site, and you do so at your own risk.",Generic
325,encryption,Secure data transfer
326,"As a result, while we strive to protect personal information, we cannot and do not guarantee or warrant the security of any information you transmit to or from the Site, and you do so at your own risk.",Generic
327,"We take security measures to protect personal information that we maintain against theft, unauthorized access, or alteration.",Generic
328,"We take security measures to protect personal information that we maintain against theft, unauthorized access, or alteration.",Generic
329,"The MFA is committed to ensuring the security of your information. To prevent unauthorized access, maintain data accuracy, and ensure the appropriate use of information, we have put in place appropriate physical, electronic, and managerial procedures to safeguard and secure the information we collect online.",Generic
330,the security approaches we use to protect your information.,Generic
331,We do not store or otherwise share any such credit card information.,Generic
332,may have access to such information and agree to keep this information confidential.,Data access limitation
333,"The Post-Gazette follows generally accepted industry security standards to safeguard and help prevent unauthorized access, maintain data security and correctly use personal information. However, no commercial method of information transfer over the Internet or electronic data storage is known to be 100% secure. As a result, we cannot guarantee the absolute security of that information during its transmission or its storage in our systems.",Generic
334,"follows generally accepted industry security standards to safeguard and help prevent unauthorized access, maintain data security and correctly use personal information",Generic
335,"7. Privacy and Third-Party Links This Privacy Policy applies solely to information collected by our Site. In an attempt to provide you with increased value, we may include third-party links on our Site. These linked sites have separate and independent privacy policies. We therefore have no responsibility or liability for the content and activities of these linked sites. Nonetheless, we seek to protect the integrity of our Site and welcome any feedback about these linked sites (including if a specific link does not work).",Generic
336,"Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information.",Generic
337,"We value you, respect your privacy and work hard to protect your personal information.",Generic
338,We require persons or organizations that represent or assist us in servicing your policy and claims to keep your information confidential.,Other
339,We require persons or organizations that represent or assist us in servicing your policy and claims to keep your information confidential. We require our employees to protect your personal information and keep it confidential.,Generic
340,"In addition to the practices described above, we use a variety of physical, technical and administrative security measures that help to safeguard your information.",Generic
341,"For Social Security Numbers (SSN), this includes restricting access to our employees, agents and others who use your SSN only as permitted by law, such as to comply with the law, to provide you with products and services or to handle your claims.",Data access limitation
342,"As you can see, protecting your personal information is important to us. In addition to the practices described above, we use a variety of physical, technical and administrative security measures that help to safeguard your information.",Generic
343,"For Social Security Numbers (SSN), this includes restricting access to our employees, agents and others who use your SSN only as permitted by law, such as to comply with the law, to provide you with products and services or to handle your claims. Our privacy practices continue to apply to your information even if you cease to be an Allstate customer.",Data access limitation
344,Our privacy practices continue to apply to your information even if you cease to be an Allstate customer.,Other
345,Your information is stored in an encrypted environment.,Generic
346,"The Internet and Your Information Security Our web sites, allstate.com and miallstate.com, provides information about us, our products, and the agencies and brokers that represent us. You may also perform some transactions on the web site. This Privacy Statement applies to users of allstate.com and miallstate.com, regardless of whether the user is an Allstate customer.",Generic
347,we use security software to encrypt the information before and during its transmission through the Internet,Secure data transfer
348,"To help ensure the security of your personal and financial information that you submit to this site, (other than via an e-mail message), we use security software to encrypt the information before and during its transmission through the Internet. We only allow information to be submitted for transmission if your browser is compatible with our security software. If your browser is not compatible, you will receive a message indicating your transaction can be completed but at a lower level of security. No method of transmission over the Internet, or method of electronic storage, is 100% secure, however. Therefore, we cannot guarantee its absolute security.",Secure data transfer
349,"To help ensure the security of your personal and financial information that you submit to this site, (other than via an e-mail message), we use security software to encrypt the information before and during its transmission through the Internet.",Generic
350,"We only allow information to be submitted for transmission if your browser is compatible with our security software. If your browser is not compatible, you will receive a message indicating your transaction can be completed but at a lower level of security.",Privacy/Security program
351,"E-mail messages are not secure. Our security software does not encrypt e-mail messages. E-mail messages traveling through the Internet are subject to viewing, alteration, and copying by potentially anyone on the Internet.",Other
352,"You should exercise discretion with respect to the submission of any personal or financial information via e-mail. If you are concerned about the security of your communication, we encourage you to send your correspondence through the postal service or use the telephone to speak directly to us. We are not responsible for the security or confidentiality of communications you send to us through the Internet using e-mail messages.",Other
353,"What Can You Do as a Customer to Help Maintain the Security of Information When Accessing Allstate Over the Internet? Some steps you can take to maintain the security of your information include: Utilize the latest, updated version of your Web browser. Keep your User ID and PIN or password confidential. Utilize a PIN or password unique to you and, if possible, change it frequently. Make sure others are not watching you enter your User ID, PIN or password on your keyboard when using the Customer Care Center or when using other protected areas of Allstate.com. Do not leave your computer unattended while logged onto our Customer Care Center or other protected areas of Allstate.com. After you've finished accessing your information, exit the Customer Care Center or other protected area within Allstate.com, and close your browser window.",Other
354,"Some steps you can take to maintain the security of your information include: Utilize the latest, updated version of your Web browser. Keep your User ID and PIN or password confidential. Utilize a PIN or password unique to you and, if possible, change it frequently. Make sure others are not watching you enter your User ID, PIN or password on your keyboard when using the Customer Care Center or when using other protected areas of Allstate.com. Do not leave your computer unattended while logged onto our Customer Care Center or other protected areas of Allstate.com. After you've finished accessing your information, exit the Customer Care Center or other protected area within Allstate.com, and close your browser window.",Other
355,"Allstate provides links to other sites as a convenience to persons who visit the Allstate web site. If you choose to use the services provided by those sites, you may be asked by those sites to provide certain personally identifiable information (some of which may be shared with Allstate). Please be aware that Allstate is not responsible for the privacy practices of those sites. We encourage you to be aware when you leave our site and to read the privacy policies of every Web site that you visit, as the privacy policies of those sites may differ from ours. Our Privacy Statement applies solely to this Web site.",Other
356,"About TRUSTe Allstate Insurance (""Allstate"") has been awarded TRUST's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers only information that is collected through this Web site, http://www.allstate.com and http://www.miallstate.com. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions.",Privacy review/audit
357,"Allstate Insurance (""Allstate"") has been awarded TRUST's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers only information that is collected through this Web site, http://www.allstate.com and http://www.miallstate.com. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions.",Other
358,"If they do not receive acknowledgment of their inquiry or their inquiry is not satisfactorily addressed, they should then contact TRUSTe through the TRUSTeWatchdog Dispute Resolution Process. TRUSTe will serve as a liaison with the Web site to resolve users concerns. All the rights in the TRUSTe mark(s) belong to TRUSTe.",Privacy/Security program
359,"These companies and individuals have access to personal information needed to perform their functions, but they are not permitted to use such information for other purposes without our permission. A more detailed discussion of our relationship with certain third-party advertisers is set forth below under the heading ""Third-Party Advertising"".",Data access limitation
360,they are not permitted to use such information for other purposes without our permission.,Data access limitation
361,This privacy policy covers the use of cookies by GameStop and does not cover the use of cookies or other tracking technologies by any of its advertisers.,Other
362,"Secure Sockets Layer (SSL) software, which encrypts certain purchasing information you input,",Secure data transfer
363,"When you purchase something from our Websites, we use Secure Sockets Layer (SSL) software, which encrypts certain purchasing information you input, although no known method of data transfer can be guaranteed to be 100% secure. We reveal only the last four digits of your credit card number when confirming an order, but we have to transmit the entire credit card number to the credit card processor or company during order processing.",Secure data transfer
364,"When you purchase something from our Websites, we use Secure Sockets Layer (SSL) software",Secure data transfer
365,"To the extent that you use our Websites, and connect to us through your computer, anyone with access to your computer may be able to access our Websites and conduct transactions in your name. We have no ability to know who has access to your computer, or to your credit card information, or who you have authorized to use such computer or information. Persons with access to your computer may be able to view any private or stored account information or other information that you have given to us. Accordingly, you are responsible for any transactions that are made in your name by someone who has access to your computer or your credit card number. It is important for you to protect against unauthorized access to any login or password information, and to your computer.",Other
366,"To the extent applicable, we require these entities to comply with this Privacy Policy and appropriate confidentiality and security measures.",Generic
367,trained,Privacy training
368,"we restrict access to personal information to Curse employees, independent contractors and agents who need to know this information in order to develop, operate and maintain the Curse Features.",Data access limitation
369,"As a result, while we strive to protect user information, we cannot ensure or warrant the security of any information you transmit to us or through the use of any of the Curse Features and you acknowledge and agree that you provide such information and engage in such transmissions at your own risk. Once we receive a transmission from you, we will endeavor to maintain its security on our systems.",Generic
370,"In addition, we restrict access to personal information to Curse employees, independent contractors and agents who need to know this information in order to develop, operate and maintain the Curse Features.",Data access limitation
371,"All Curse personnel who have access to this information are trained in the maintenance and security of such information. However, no server, computer or communications network or system, or data transmission over the Internet can be guaranteed to be 100% secure. As a result, while we strive to protect user information, we cannot ensure or warrant the security of any information you transmit to us or through the use of any of the Curse Features and you acknowledge and agree that you provide such information and engage in such transmissions at your own risk. Once we receive a transmission from you, we will endeavor to maintain its security on our systems.",Generic
372,"The personal information that you provide to us is stored on servers, which are located in secured facilities with restricted access, and protected by protocols and procedures designed to ensure the security of such information. In addition, we restrict access to personal information to Curse employees, independent contractors and agents who need to know this information in order to develop, operate and maintain the Curse Features. All Curse personnel who have access to this information are trained in the maintenance and security of such information. However, no server, computer or communications network or system, or data transmission over the Internet can be guaranteed to be 100% secure. As a result, while we strive to protect user information, we cannot ensure or warrant the security of any information you transmit to us or through the use of any of the Curse Features and you acknowledge and agree that you provide such information and engage in such transmissions at your own risk. Once we receive a transmission from you, we will endeavor to maintain its security on our systems.",Generic
373,ll Curse personnel who have access to this information are trained in the maintenance and security of such information,Privacy/Security program
374,"n addition, we restrict access to personal information to Curse employees, independent contractors and agents who need to know this information in order to develop, operate and maintain the Curse Features.",Data access limitation
375,"These companies and individuals will have access to your personal information as necessary to perform their functions, but they may not share that information with any other third party.",Data access limitation
376,"We attempt to limit access to our searchable resume database (or copies thereof) only to paying employers, recruiters, hiring managers, headhunters, and human resource professionals as well as law enforcement and national security agencies, but cannot guarantee that other parties will not gain access to this database.",Data access limitation
377,"When you place an order online at any of the Science websites, your credit card information is protected through the use of encryption utilizing Secure Socket Layer (SSL) protocol, the industry standard in transferring information to process your orders.",Secure data transfer
378,"We implement reasonable technical and organizational measures designed to secure your personal information from accidental loss and from unauthorized access, use, alteration, or disclosure",Generic
379,"We implement reasonable technical and organizational measures designed to secure your personal information from accidental loss and from unauthorized access, use, alteration, or disclosure. In addition, all credit transactions occur in a secure area of our site, to protect you from any loss, misuse, or alteration of information collected. However, we cannot guarantee that unauthorized third parties will never be able to defeat those measures or use your personal information for improper purposes",Generic
380,"We implement reasonable technical and organizational measures designed to secure your personal information from accidental loss and from unauthorized access, use, alteration, or disclosure. In addition, all credit transactions occur in a secure area of our site, to protect you from any loss, misuse, or alteration of information collected. However, we cannot guarantee that unauthorized third parties will never be able to defeat those measures or use your personal information for improper purposes.",Generic
381,"The SSL encrypts, or translates, your order information into a highly indecipherable code, which is processed immediately. When you've finished your transactions and begin the checkout process, you will move into the secure area of our site. A warning window may pop up to notify you that you are entering this ""safe"" area. Once you've entered, the page address (URL) will change from http to https, to let you know you are in a secure area. Also, a key or closed lock will appear in the lower left-hand corner of your screen to notify you of this change. You will remain in this secure zone for the entire checkout process. In addition, only the last four digits of your credit card number will be revealed on the screen when confirming an order. Of course, we securely transmit the entire credit card number to the appropriate credit card service company during order processing.",Secure data transfer
382,"The SSL encrypts, or translates, your order information into a highly indecipherable code, which is processed immediately. When you've finished your transactions and begin the checkout process, you will move into the secure area of our site. A warning window may pop up to notify you that you are entering this ""safe"" area. Once you've entered, the page address (URL) will change from http to https, to let you know you are in a secure area. Also, a key or closed lock will appear in the lower left-hand corner of your screen to notify you of this change. You will remain in this secure zone for the entire checkout process. In addition, only the last four digits of your credit card number will be revealed on the screen when confirming an order. Of course, we securely transmit the entire credit card number to the appropriate credit card service company during order processing.",Secure data transfer
383,"To protect your privacy to the maximum extent possible, we have undertaken this privacy initiative and our websites have been reviewed and certified by ESRB Privacy Online to meet established online information collection and use practices. As part of the privacy program, we are subject to frequent audits of our sites and other enforcement and accountability mechanisms administered independently by ESRB.",Privacy review/audit
384,"To protect your privacy to the maximum extent possible, we have undertaken this privacy initiative and our websites have been reviewed and certified by ESRB Privacy Online to meet established online information collection and use practices. As part of the privacy program, we are subject to frequent audits of our sites and other enforcement and accountability mechanisms administered independently by ESRB.",Privacy/Security program
385,"ESRB Privacy Online is a third-party seal provider whose mission is to protect consumers' online privacy and make the Internet a secure, reliable and private place to share information and conduct business. ESRB Privacy Online promotes and enforces established principles and guidelines for fair information collection practices that include requirements of full disclosure, notice and informed consent.",Privacy review/audit
386,"Whenever you visit a website that displays the ESRB Privacy Online certification seal, you can expect to be notified of: What personal information may be collected and by what means Who, if anyone, is collecting your personal information How this information may be used, including who, if anyone, it might be shared with The consequences, if any, resulting from your refusal to provide personal information How you can access and, if necessary, change the personal information a company maintains How a company ensures data security, quality and integrity Where and how to ask questions or file complaints",Privacy review/audit
387,"On our websites, PlayStation Network log in information is being authenticated by SNEA, not SCEA.",Secure user authentication
388,"We do not control our affiliates' or third parties' use of your information after we share it, but we use reasonable efforts to obtain our affiliates' and third parties' agreement to protect the confidentiality, security, and integrity of any personal information we share with them or that we permit them to collect directly. If consumers do not want their personal information made available to others in these ways, they should not provide their personal information to us.",Generic
389,"We ask our users to respect the privacy of others. Disclosure of phone numbers, addresses, age or other personally identifying information that may violate someone else's privacy is prohibited. Encouraging or asking users to disclose publicly their personally identifying information is also prohibited.",Generic
390,"Accuracy Security We take reasonable measures to protect the confidentiality, security, and integrity of the personal information collected from our website visitors. Personal information is stored in secure operating environments that are not available to the public and that are only accessible to authorized employees.",Data access limitation
391,"We also have security measures in place to protect the loss, misuse, and alteration of the information under our control.",Privacy/Security program
392,"Unfortunately, there is no such thing as perfect security. As a result, although we strive to protect personally identifying information, we cannot ensure or warrant the security of any information transmitted to us through or in connection with our websites, that we store on our systems or that is stored on our service providers' systems.",Generic
