,Clause,Data access limitation,Generic,Privacy/Security program,Other,Unspecified,Secure data transfer,Secure user authentication,Privacy review/audit,Secure data storage,Privacy training
210,"For example, when the e-mail address 'U13user@dictionary.com' is hashed, the result or ""hash value"" might be 'a8der13ap69'. Every time that hash function is applied to that e-mail address the result will be the same. It is called one-way hashing because the function allows you to convert the data only one way. So while it is possible to convert an e-mail address into a hash value, it is not possible to convert that value back into the e-mail address.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
211,"When the user forgets the password associated with the account, we request the original email address, hash it, and then compare the two hash values. If they match, we e-mail the password reminder to the user and then immediately discard the e-mail again.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,"we will require by contract that they agree to maintain the confidentiality, security and integrity of such information.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
213,We attempt to follow policies and procedures that will protect against unauthorized access to your Personally Identifiable Information.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,"Prometheus Global Media cannot ensure or warrant the security or privacy of any information you transmit to us. We attempt to follow policies and procedures that will protect against unauthorized access to your Personally Identifiable Information. But we can make no guarantees or promises in this regard, and you provide information to us at your own risk.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,"Agents and contractors of Time Inc. that have access to personally identifiable information are required to protect this information in a manner that is consistent with this Privacy Policy by, for example, not using the information for any purpose other than to carry out the services they are performing for Time Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,"Although we take appropriate measures to safeguard against unauthorized disclosures of information, we cannot assure you that personally identifiable information that we collect will never be disclosed in a manner that is inconsistent with this Privacy Policy. Inadvertent disclosures may result, for example, when third parties misrepresent their identities in asking the site for access to personally identifiable information about themselves for purposes of correcting possible factual errors in the data.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,"We have put in place appropriate administrative, technical, and physical safeguards to help prevent unauthorized access, maintain data security and correctly use the information we collect. No system can be completely secure, however, and we do not guarantee that unauthorized disclosures and access will not happen.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,"We have put in place appropriate administrative, technical, and physical safeguards to help prevent unauthorized access, maintain data security and correctly use the information we collec",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,"No system can be completely secure, however, and we do not guarantee that unauthorized disclosures and access will not happen.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,"In addition, we have security procedures and policies in place to safeguard against loss, theft, unauthorized access, destruction, misuse, and modification of this information after we receive it.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,"American Honda has reasonable security measures in place to protect your personally identifiable information. This information is protected while being transmitted through a Secured Sockets Layer (SSL) connection. Most web pages that display personally identifiable information are encrypted using 128-bit SSL, which is an industry standard.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
222,"The following brands' brochure requests, however, are not transmitted through a SSL connection: Engine, Marine, and Power Equipment. In addition, the Motorcycle brand site does not currently transmit brochure and email notification requests through an SSL connection.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
223,"However, perfect security does not exist over the internet. If you are an owners.honda.com/owners.acura.com registrant, you can help protect your personally identifiable information by selecting the ""Log Out"" icon before you close your browser.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,This information is protected while being transmitted through a Secured Sockets Layer (SSL) connection.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
225,American Honda has reasonable security measures in place to protect your personally identifiable information.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,"This information is protected while being transmitted through a Secured Sockets Layer (SSL) connection. Most web pages that display personally identifiable information are encrypted using 128-bit SSL, which is an industry standard. The following brands' brochure requests, however, are not transmitted through a SSL connection: Engine, Marine, and Power Equipment. In addition, the Motorcycle brand site does not currently transmit brochure and email notification requests through an SSL connection",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
227,We have installed safeguards to secure and protect the credit card information used for your transactions.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,"American Honda Finance Corporation (""AHFC"") respects and protects customer privacy. We know privacy is important to you and is vital to our business. As required by law, this document explains our Privacy Policy. We want you to know how we keep our customer information private and secure and how we use the information to provide you a broad range of financial services and products to serve you better.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,How do we protect information? We maintain physical and electronic safeguards and have policies and procedures that are intended to prevent unauthorized access to consumer information.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,We maintain physical and electronic safeguards and have policies and procedures that are intended to prevent unauthorized access to consumer information.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,to avoid unauthorized access or disclosure of this information.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
232,"Valve has taken reasonable steps to protect the information users share with us, including, but not limited to, setup of processes, equipment and software to avoid unauthorized access or disclosure of this information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Protecting your privacy and security is important and we also take reasonable steps to verify your identity before granting access to your data.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Protecting your privacy and security is important,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,we also take reasonable steps to verify your identity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
236,Secure Socket Layer (SSL) encryption,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
237,housing health data in secure facilities that restrict physical and network access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
238,"Secure Socket Layer (SSL) encryption, firewalls, system alerts and other information system security technologies",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
239,"regular evaluation and enhancement of our information technology systems, facilities, and information collection, storage and processing practices",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
240,"Under applicable law, we are required to apply reasonable and appropriate measures to safeguard the confidentiality, integrity and availability of individually identifiable health information (as such term is defined by HIPAA) residing on and processed by our sites and services.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
241,"Protecting Personal and Protected Health Information The security of our sites and services and the information they store, process and transmit is a top priority. To prevent unauthorized access, maintain data accuracy, and ensure the appropriate use of the information we collect, we deploy a wide range of technical, physical and administrative safeguards,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,; housing health data in secure facilities that restrict physical and network access;,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
243,"regular evaluation and enhancement of our information technology systems, facilities, and information collection, storage and processing practices.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
244,"firewalls, system alerts and other information system security technologies",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
245,"and regular evaluation and enhancement of our information technology systems, facilities, and information collection, storage and processing practices",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
246,reasonable and appropriate measures,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
247,"we collect, we deploy a wide range of technical, physical and administrative safeguards",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,When you enter payment information we encrypt the transmission of that information using SSL technology and do not store it on our systems.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
249,payment information we encrypt the transmission of that information using SSL technology,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
250,"We use third-party service providers to manage credit card and payment processing. These service providers are not permitted to store, retain, or use billing Information except for the sole purpose of credit card and payment processing on our behalf.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,"It is important to remember, however, that no system can guarantee 100 security at all times. Accordingly, we cannot guarantee the security of information stored on or transmitted to or from our services. We cannot assume responsibility or liability for unauthorized access to our servers and systems. When disclosing any personal or protected health information, you should remain mindful of the fact that it is potentially accessible to the public and,consequently, can be collected and used by others without your consent. Accordingly, you should consider carefully if you want to submit sensitive information that you would not want disclosed to the public and should recognize that your use of the Internet and our sites and services is solely at your risk. You are ultimately responsible for maintaining the secrecy for all your personal information, including your protected health information. Except as provided in aBusiness Associate Agreement between us and a healthcare provider, we have no responsibility or liability to anyone for the security of your personal or protected health information transmitted via the Internet.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
252,"Steps You Can Take Install malware detection programs that regularly scan your system and incoming traffic for malicious code such as computer viruses, worms, Trojan Horses and spyware. Because viruses and malware are continuously created and modified, regular malware protection software typically requires frequent updates.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Use a firewall to prevent unauthorized access to your device.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
254,"Because malware often targets vulnerabilities in existing operating systems, browsers, plug-ins and other programs, software vendors frequently update their products with security patches to guard against known or commonly exploited vulnerabilities. Vendors often try to alert their users and recommend immediate installation of these security patches.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
255,Use a strong password using a combination of letters and numbers that are not easily guessed. Do not share your password with others.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
256,"If you use a shared device, always close all active programs and log out before leaving it unattended.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
257,"Avoid using a public wireless network, if possible. If you do use a public network, use the most restrictive wireless network settings on your device.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
258,"If you use file-sharing programs, be sure to restrict all other folders or directories to ""no share"".",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
259,"Be very cautious with any email requesting you to share personal information. On websites, look for the lock symbol on or near your browser's address bar which signifies a secure website before supplying personal information.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
260,"When participating in one of our communities, blogs, forums, surveys or other open communication platforms, exercise care in selecting what information you share, particularly personal or health information.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
261,"Our sites and services may include collection, transmission and storage of protected health information you submit for healthcare providers or that healthcare providers submit to us and is subject to special rules under the Health Insurance Portability and Accountability Act of 1996 or ""HIPAA"".",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
262,"If you engaged in our sites and services with that healthcare provider, any protected health information that you submitted with our sites and services or otherwise maintained by us or a subcontractor in connection with our sites and services will be returned to the healthcare provider or destroyed by us or such subcontractor.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
263,Abita is committed to protecting your privacy.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,"Additionally, when we transmit sensitive personal information (such as a credit card number) over the Internet, we protect it through the use of encryption, such as the Secure Socket Layer (SSL) protocol.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
265,"Abita is committed to protecting the security of your personal information. We use a variety of security technologies and procedures to help protect your personal information from unauthorized access, use, or disclosure",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,on computer servers with limited access,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,located in controlled facilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
268,"Security of your Personal Information: Abita is committed to protecting the security of your personal information. We use a variety of security technologies and procedures to help protect your personal information from unauthorized access, use, or disclosure.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,"For example, we store the personal information you provide on computer servers with limited access that are located in controlled facilities.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270,"Abita is committed to protecting the security of your personal information. We use a variety of security technologies and procedures to help protect your personal information from unauthorized access, use, or disclosure.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,limited access,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,"These third-party vendors will have access to the information needed to perform their functions, but may not use your information for any other purpose.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,"The Smithsonian requires credit card processing be secured based on compliance with Payment Card Industry (PCI) standards. When you use your credit card for any purchase on a Smithsonian Website, that transaction is always encrypted when traveling over the Internet.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
274,"The Smithsonian takes reasonable steps to design and manage our Websites' technology to ensure that its information technology systems, applications, and information technology infrastructure are secure.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,"The Smithsonian takes reasonable steps to design and manage our Websites' technology to ensure that its information technology systems, applications, and information technology infrastructure are secure",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,"In addition to limiting access to personal information to those who have a business ""need to know"",",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,"As appropriate and feasible, the Smithsonian monitors network traffic to identify unauthorized attempts to access, upload, or change information or otherwise cause damage. Unauthorized access and/or unauthorized attempts to change information on Smithsonian Websites are strictly prohibited and punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
278,"the Smithsonian requires its service providers who help maintain or operate its Websites to contractually agree to protect the confidentiality, integrity, availability and security of the personal information",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,"the Smithsonian monitors network traffic to identify unauthorized attempts to access, upload, or change information or otherwise cause damage. Unauthorized access and/or unauthorized attempts to change information on Smithsonian Websites are strictly prohibited and punishable under the Computer Fraud and Abuse Act of 1986 and the National Information Infrastructure Protection Act.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
280,"As appropriate and feasible, the Smithsonian monitors network traffic to identify unauthorized attempts to access, upload, or change information or otherwise cause damage",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
281,"In addition to limiting access to personal information to those who have a business ""need to know""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,"the Smithsonian requires its service providers who help maintain or operate its Websites to contractually agree to protect the confidentiality, integrity, availability and security of the personal information.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,"The Motley Fool, LLC (""The Motley Fool"" or ""we"" or ""us"") is committed to protecting and respecting your privacy.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,What kind of security measures do we take to protect your information from accidental loss or disclosure-,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,We encrypt all of this information using Secure Socket Layers (SSL) technology.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
286,We encrypt all of this information using Secure Socket Layers (SSL) technology,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
287,encrypted with SSL technology,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
288,We store information you provide us on our secure servers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
289,The Motley Fool is committed to protecting your personal information.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,We store information you provide us on our secure servers.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
291,"Further, the information you provide when making a purchase is encrypted with SSL technology.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
292,the information you provide when making a purchase is encrypted with SSL technology,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
293,Only you have access to these password-protected areas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
294,"Personalized areas of our sites, such as My Fool, are password-protected.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,are password-protected,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
296,"complies with the US-EU Safe Harbor Framework and the US-Swiss Safe Harbor Framework as set forth by the U.S. Department of Commerce regarding the collection, use, and retention of personal information from European Union member countries and Switzerland. The Motley Fool has certified that it adheres to the Safe Harbor Privacy Principles of notice, choice, onward transfer, security, data integrity, access and enforcement. To learn more about the Safe Harbor program, and to view our certification, please visit www.export.gov/safeharbor",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,"While we do our best to protect your personal information,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,"The Motley Fool cannot ensure or warrant the security of any information you transmit to us, and you do so at your own risk.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
299,you must protect yourself. You are responsible for maintaining the secrecy of any password and/or account information,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,we do our best to protect your personal information,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,"MediaNews uses procedures to safeguard and help prevent unauthorized access to the information collected on the MediaNews Web sites. Although such protective measures have been put in place, MediaNews cannot ensure that the information collected will never be disclosed in a manner inconsistent with this Privacy Policy.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,securely maintained,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,"MediaNews requires the agent or contractor to maintain the confidentiality, security and integrity of the information and limit use to the specific services they are performing on our behalf.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,We have implemented safeguards to protect any information collected.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Protecting your personal information and privacy is important to the Library.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,The Library has implemented safeguards to protect this information,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,only providing access to designated Library staff members that require this access to perform their duties.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,"The Library has implemented safeguards to protect this information, including only providing access to designated Library staff members that require this access to perform their duties.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,"The Library has implemented safeguards to protect this information,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,including only providing access to designated Library staff members that require this access to perform their duties.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,"Each Service Provider must agree to implement and maintain reasonable security procedures and practices appropriate to the nature of your information in order to protect your personal information from unauthorized access, destruction, use, modification, or disclosure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
312,"We use encryption and authentication tools to protect the security of personal information that you share with us. However, no data transmission over the Internet (or, with respect to our mobile services, over cellular phone networks) can be guaranteed to be 100% secure. As a result, while we strive to protect personal information, we cannot and do not guarantee or warrant the security of any information you transmit to or from the Site, and you do so at your own risk.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,encryption,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
314,"As a result, while we strive to protect personal information, we cannot and do not guarantee or warrant the security of any information you transmit to or from the Site, and you do so at your own risk.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,"We take security measures to protect personal information that we maintain against theft, unauthorized access, or alteration.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,"The MFA is committed to ensuring the security of your information. To prevent unauthorized access, maintain data accuracy, and ensure the appropriate use of information, we have put in place appropriate physical, electronic, and managerial procedures to safeguard and secure the information we collect online.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,the security approaches we use to protect your information.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,We do not store or otherwise share any such credit card information.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,may have access to such information and agree to keep this information confidential.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,"The Post-Gazette follows generally accepted industry security standards to safeguard and help prevent unauthorized access, maintain data security and correctly use personal information. However, no commercial method of information transfer over the Internet or electronic data storage is known to be 100% secure. As a result, we cannot guarantee the absolute security of that information during its transmission or its storage in our systems.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,"follows generally accepted industry security standards to safeguard and help prevent unauthorized access, maintain data security and correctly use personal information",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,"7. Privacy and Third-Party Links This Privacy Policy applies solely to information collected by our Site. In an attempt to provide you with increased value, we may include third-party links on our Site. These linked sites have separate and independent privacy policies. We therefore have no responsibility or liability for the content and activities of these linked sites. Nonetheless, we seek to protect the integrity of our Site and welcome any feedback about these linked sites (including if a specific link does not work).",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,"Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,"We value you, respect your privacy and work hard to protect your personal information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,We require persons or organizations that represent or assist us in servicing your policy and claims to keep your information confidential.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
326,We require persons or organizations that represent or assist us in servicing your policy and claims to keep your information confidential. We require our employees to protect your personal information and keep it confidential.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,"In addition to the practices described above, we use a variety of physical, technical and administrative security measures that help to safeguard your information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,"For Social Security Numbers (SSN), this includes restricting access to our employees, agents and others who use your SSN only as permitted by law, such as to comply with the law, to provide you with products and services or to handle your claims.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,"As you can see, protecting your personal information is important to us. In addition to the practices described above, we use a variety of physical, technical and administrative security measures that help to safeguard your information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,"For Social Security Numbers (SSN), this includes restricting access to our employees, agents and others who use your SSN only as permitted by law, such as to comply with the law, to provide you with products and services or to handle your claims. Our privacy practices continue to apply to your information even if you cease to be an Allstate customer.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,Our privacy practices continue to apply to your information even if you cease to be an Allstate customer.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Your information is stored in an encrypted environment.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,"The Internet and Your Information Security Our web sites, allstate.com and miallstate.com, provides information about us, our products, and the agencies and brokers that represent us. You may also perform some transactions on the web site. This Privacy Statement applies to users of allstate.com and miallstate.com, regardless of whether the user is an Allstate customer.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,we use security software to encrypt the information before and during its transmission through the Internet,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
335,"To help ensure the security of your personal and financial information that you submit to this site, (other than via an e-mail message), we use security software to encrypt the information before and during its transmission through the Internet. We only allow information to be submitted for transmission if your browser is compatible with our security software. If your browser is not compatible, you will receive a message indicating your transaction can be completed but at a lower level of security. No method of transmission over the Internet, or method of electronic storage, is 100% secure, however. Therefore, we cannot guarantee its absolute security.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
336,"To help ensure the security of your personal and financial information that you submit to this site, (other than via an e-mail message), we use security software to encrypt the information before and during its transmission through the Internet.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,"We only allow information to be submitted for transmission if your browser is compatible with our security software. If your browser is not compatible, you will receive a message indicating your transaction can be completed but at a lower level of security.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,"E-mail messages are not secure. Our security software does not encrypt e-mail messages. E-mail messages traveling through the Internet are subject to viewing, alteration, and copying by potentially anyone on the Internet.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
339,"You should exercise discretion with respect to the submission of any personal or financial information via e-mail. If you are concerned about the security of your communication, we encourage you to send your correspondence through the postal service or use the telephone to speak directly to us. We are not responsible for the security or confidentiality of communications you send to us through the Internet using e-mail messages.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
340,"What Can You Do as a Customer to Help Maintain the Security of Information When Accessing Allstate Over the Internet? Some steps you can take to maintain the security of your information include: Utilize the latest, updated version of your Web browser. Keep your User ID and PIN or password confidential. Utilize a PIN or password unique to you and, if possible, change it frequently. Make sure others are not watching you enter your User ID, PIN or password on your keyboard when using the Customer Care Center or when using other protected areas of Allstate.com. Do not leave your computer unattended while logged onto our Customer Care Center or other protected areas of Allstate.com. After you've finished accessing your information, exit the Customer Care Center or other protected area within Allstate.com, and close your browser window.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
341,"Some steps you can take to maintain the security of your information include: Utilize the latest, updated version of your Web browser. Keep your User ID and PIN or password confidential. Utilize a PIN or password unique to you and, if possible, change it frequently. Make sure others are not watching you enter your User ID, PIN or password on your keyboard when using the Customer Care Center or when using other protected areas of Allstate.com. Do not leave your computer unattended while logged onto our Customer Care Center or other protected areas of Allstate.com. After you've finished accessing your information, exit the Customer Care Center or other protected area within Allstate.com, and close your browser window.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
342,"Allstate provides links to other sites as a convenience to persons who visit the Allstate web site. If you choose to use the services provided by those sites, you may be asked by those sites to provide certain personally identifiable information (some of which may be shared with Allstate). Please be aware that Allstate is not responsible for the privacy practices of those sites. We encourage you to be aware when you leave our site and to read the privacy policies of every Web site that you visit, as the privacy policies of those sites may differ from ours. Our Privacy Statement applies solely to this Web site.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
343,"About TRUSTe Allstate Insurance (""Allstate"") has been awarded TRUST's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers only information that is collected through this Web site, http://www.allstate.com and http://www.miallstate.com. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
344,"Allstate Insurance (""Allstate"") has been awarded TRUST's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers only information that is collected through this Web site, http://www.allstate.com and http://www.miallstate.com. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
345,"If they do not receive acknowledgment of their inquiry or their inquiry is not satisfactorily addressed, they should then contact TRUSTe through the TRUSTeWatchdog Dispute Resolution Process. TRUSTe will serve as a liaison with the Web site to resolve users concerns. All the rights in the TRUSTe mark(s) belong to TRUSTe.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
