,Clause,Personal notice,Unspecified,General notice on website,Other,General notice in privacy policy,No notification
257,they will be posted on this page.,0.0,0.0,0.0,0.0,1.0,0.0
258,the change will be posted on this page thirty (30) days prior to taking effect and registered users will be notified via email.,1.0,0.0,0.0,0.0,0.0,0.0
259,", the change will be posted on this page thirty (30) days prior to taking effect",0.0,0.0,0.0,0.0,1.0,0.0
260,the change will be posted on this page thirty (30) days prior to taking effect,0.0,0.0,0.0,1.0,1.0,0.0
261,registered users will be notified via email.,1.0,0.0,0.0,0.0,0.0,0.0
262,will be posted on this page.,0.0,0.0,0.0,0.0,1.0,0.0
263,registered users will be notified via email,1.0,0.0,0.0,0.0,0.0,0.0
264,"Important Update In September 2012, we announced that Instagram had been acquired by Facebook. We knew that by teaming up with Facebook, we could build a better Instagram for you. Since then, we've been collaborating with Facebook's team on ways to do just that. As part of our new collaboration, we've learned that by being able to share insights and information with each other, we can build better experiences for our users.",0.0,0.0,0.0,0.0,1.0,0.0
265,"We're updating our Privacy Policy to highlight this new collaboration,",0.0,1.0,0.0,0.0,0.0,0.0
266,"Our new Privacy Policy is effective on January 19, 2013. To learn about how we treat information collected prior to January 19, 2013, please click here.",0.0,0.0,0.0,0.0,1.0,0.0
267,"Effective date: January 19, 2013",0.0,0.0,1.0,0.0,0.0,0.0
268,We may provide you additional forms of notice of modifications or updates as appropriate under the circumstances.,0.0,1.0,0.0,1.0,0.0,0.0
269,please review it periodically.,0.0,0.0,0.0,0.0,1.0,0.0
270,We may provide,0.0,1.0,0.0,0.0,0.0,0.0
271,"we will provide you with notice of those changes and may do so by either: (1) announcing the change on the home page of our website or (2) taking other actions as we deem appropriate under the circumstances, including without limitation, posting the revised version of this Privacy Policy online.",0.0,0.0,0.0,0.0,1.0,0.0
272,", we will provide you with notice of those changes and may do so by either: (1) announcing the change on the home page of our website or (2) taking other actions as we deem appropriate under the circumstances, including without limitation, posting the revised version of this Privacy Policy online.",0.0,0.0,1.0,0.0,0.0,0.0
273,(1) announcing the change on the home page of our website,0.0,0.0,1.0,0.0,0.0,0.0
274,"including without limitation, posting the revised version of this Privacy Policy online",0.0,0.0,0.0,0.0,1.0,0.0
275,taking other actions as we deem appropriate under the circumstances,0.0,1.0,0.0,0.0,0.0,0.0
276,announcing the change on the home page of our website,0.0,0.0,1.0,0.0,0.0,0.0
277,"taking other actions as we deem appropriate under the circumstances, including without limitation, posting the revised version of this Privacy Policy online",0.0,1.0,0.0,0.0,0.0,0.0
278,"You can determine when this Privacy Policy was last revised by referring to the ""Last Updated"" or similar legend at the top of this page.",0.0,0.0,0.0,0.0,1.0,0.0
279,"Any changes to this Privacy Policy will become effective upon posting of the revised Privacy Policy on the Internet, accessible through this site.",0.0,0.0,1.0,0.0,0.0,0.0
280,"referring to the ""Last Updated"" or similar legend at the top of this page.",0.0,0.0,0.0,0.0,1.0,0.0
281,we will post the updated Privacy Policy here,0.0,0.0,0.0,0.0,1.0,0.0
282,notify you by email,1.0,0.0,0.0,0.0,0.0,0.0
283,by means of a notice on our website,0.0,0.0,1.0,0.0,0.0,0.0
284,post the updated Privacy Policy here and notify you by email,1.0,0.0,0.0,0.0,0.0,0.0
285,by means of a notice on our website.,0.0,0.0,1.0,0.0,0.0,0.0
286,"y, we will post those changes to this privacy policy and other places we deem appropriate.",0.0,0.0,0.0,0.0,1.0,0.0
287,we will post those changes to this privacy policy and other places we deem appropriate.,0.0,0.0,0.0,0.0,1.0,0.0
288,we will contact you beforehand to explain the use of the information,1.0,0.0,0.0,0.0,0.0,0.0
289,through a prominent notice posted on the Sites,0.0,0.0,1.0,0.0,0.0,0.0
290,we will post those changes here,0.0,0.0,0.0,0.0,1.0,0.0
291,"we will post those changes here so that you will always know what information we gather, how we might use that information, and whether we will disclose it to anyone.",0.0,0.0,0.0,0.0,1.0,0.0
292,a prominent notice of the nature of the change will be posted on this Privacy Statement,0.0,0.0,0.0,0.0,1.0,0.0
293,the current subscribers will be notified as soon as possible.,1.0,1.0,0.0,0.0,0.0,0.0
294,prominent notice of the nature of the change will be posted on this Privacy Statement,0.0,0.0,0.0,0.0,1.0,0.0
295,We will post the date our Policy was last updated at the top of the Privacy Policy.,0.0,1.0,0.0,0.0,1.0,0.0
296,additional notice of significant updates.,0.0,1.0,0.0,0.0,0.0,0.0
297,We will provide additional notice of significant updates,0.0,1.0,0.0,0.0,0.0,0.0
298,sending a notice to the primary email address specified in your Yahoo account,1.0,0.0,0.0,0.0,0.0,0.0
299,by placing a prominent notice on our site.,0.0,0.0,1.0,0.0,0.0,0.0
300,We will notify you about significant changes in the way we treat personal information by sending a notice to the primary email address specified in your Yahoo account,1.0,0.0,0.0,0.0,0.0,0.0
301,or by placing a prominent notice on our site.,0.0,0.0,1.0,0.0,0.0,0.0
302,sending a notice to the primary email address,1.0,0.0,0.0,0.0,0.0,0.0
303,"Last Updated: September 25, 2014",0.0,0.0,0.0,0.0,1.0,0.0
304,periodically review this page,0.0,0.0,0.0,0.0,1.0,0.0
305,We ask that you periodically review this page to ensure continuing familiarity with the most current version of this Web site's Privacy Policy.,0.0,0.0,0.0,0.0,1.0,0.0
306,either we or the third party will post relevant privacy information in the official rules and/or registration area for the promotion or sweepstakes.,0.0,0.0,0.0,1.0,0.0,0.0
307,"Effective date: July 1, 2004, Updated: December 23, 2013",0.0,0.0,0.0,0.0,1.0,0.0
308,we will revise the Last Updated date at the top of this Notice.,0.0,0.0,0.0,0.0,1.0,1.0
309,"If we make changes to the U.S. Online Privacy Notice, we will revise the Last Updated date at the top of this Notice",0.0,0.0,0.0,0.0,1.0,0.0
310,without advance notice,0.0,0.0,0.0,0.0,0.0,1.0
311,Latin Post may provide notice of terminations or changes in services on this Site.,0.0,0.0,1.0,0.0,0.0,0.0
312,unless we provide advance notice of any other use.,0.0,1.0,0.0,0.0,0.0,0.0
313,"In such cases, we will provide to you an explanation of why access cannot be provided and contact information for further inquiries.",1.0,0.0,0.0,0.0,0.0,0.0
314,Notice of material changes will be posted on the Site's homepage,0.0,0.0,1.0,0.0,1.0,0.0
315,We reserve the right to revise this Privacy Policy at any time by posting an updated Privacy Policy without advance notice to you.,0.0,0.0,0.0,0.0,0.0,1.0
316,"Notice of material changes will be posted on the Site's homepage and/or will be provided by e-mailing you or notifying you upon login about these changes; the form of such notice is at our discretion. However, we encourage you to check this Privacy Policy and Terms of Use Agreement often for updates.",0.0,0.0,0.0,1.0,0.0,0.0
317,will be provided by e-mailing you or notifying you upon login,1.0,0.0,0.0,0.0,0.0,0.0
318,Privacy Policy and Terms of Use Agreement,0.0,0.0,0.0,0.0,1.0,0.0
319,by posting an updated Privacy Policy without advance notice to you,0.0,0.0,0.0,0.0,0.0,1.0
320,"Last updated: March 25, 2015",0.0,0.0,0.0,0.0,1.0,0.0
321,"By using any of the services above, you are accepting the practices described in our Privacy Policy.",0.0,1.0,0.0,0.0,0.0,0.0
322,without changing the effective date of the Privacy Policy itself.,0.0,0.0,0.0,1.0,0.0,0.0
323,without changing the effective date of the Privacy Policy itself. We urge you to check this section for changes regularly.,0.0,0.0,0.0,0.0,0.0,1.0
324,"When we post changes to this Privacy Policy, we will revise the ""last updated"" date at the top of this page.",0.0,0.0,0.0,0.0,1.0,0.0
325,"If we provide notice of changes via email, you consent to receiving email notice of such changes.",1.0,0.0,0.0,0.0,0.0,0.0
326,"we will revise the ""last updated"" date at the top of this page.",0.0,0.0,0.0,0.0,1.0,0.0
327,notice of changes via email,1.0,0.0,0.0,0.0,0.0,0.0
328,"Effective Date: May 7, 2015",0.0,0.0,0.0,0.0,1.0,0.0
329,We will indicate the notice's effective date on the first page of the notice.,0.0,0.0,0.0,0.0,1.0,0.0
330,"Last updated: August 26, 2014",0.0,0.0,0.0,0.0,1.0,0.0
331,updated policy on the Sites,0.0,0.0,1.0,0.0,0.0,0.0
332,appropriate notice to you.,1.0,0.0,0.0,0.0,0.0,0.0
333,"n line with these values, our privacy policy may change from time to time. If it does, we will post an updated policy on the Sites and change the ""last updated"" line above.",0.0,0.0,0.0,0.0,1.0,0.0
334,"pdated policy on the Sites and change the ""last updated"" line abo",0.0,0.0,0.0,0.0,1.0,0.0
335,we will provide appropriate notice to you.,0.0,1.0,0.0,0.0,0.0,0.0
336,without,0.0,0.0,0.0,0.0,0.0,1.0
337,"If we modify our Privacy Policy, we may post a notice on our website",0.0,0.0,1.0,0.0,0.0,0.0
338,we may post a notice on our website,0.0,0.0,0.0,0.0,1.0,0.0
339,"post a notice on our website so our users are aware of what information we collect,",0.0,0.0,1.0,0.0,0.0,0.0
340,We will post all changes to this Policy on the Sites,0.0,0.0,1.0,0.0,0.0,0.0
341,"We will post all changes to this Policy on the Sites, and we encourage all visitors and users of the Sites to check this policy from time to time.",0.0,0.0,0.0,0.0,0.0,1.0
342,so please be sure to visit this site often to see if anything has changed. If we post changes,0.0,1.0,0.0,0.0,0.0,0.0
343,so please be sure to visit this site often to see if anything has changed.,0.0,0.0,0.0,0.0,1.0,1.0
344,The revised policy will be posted on the MediaNews Web site.,0.0,1.0,1.0,0.0,0.0,0.0
345,The revised policy will be posted on the MediaNews Web site. Please check this page periodically for changes.,0.0,0.0,0.0,1.0,0.0,0.0
346,we'll post the changes here,0.0,0.0,0.0,0.0,1.0,0.0
347,we'll post the changes here and indicate at the top of the policy the last date on which it was updated,0.0,0.0,0.0,0.0,1.0,0.0
348,we'll post the changes here and indicate at the top of the policy the last date on which it was updated.,0.0,0.0,0.0,0.0,1.0,0.0
349,Kaleida Health will post any revised notice in our hospital reception area.,0.0,0.0,0.0,1.0,0.0,0.0
350,t any revised notice in our hospital reception area.,0.0,0.0,0.0,1.0,0.0,0.0
351,You will also be able to obtain your own copy of the revised notice by accessing our website at www.Kaleidahealth.org,0.0,0.0,1.0,0.0,0.0,0.0
352,"Kaleida Health may change our privacy practices from time to time. If we do, we will revise this notice so you will have an accurate summary of our practices. The revised notice will apply to all of your health information. Kaleida Health will post any revised notice in our hospital reception area.",0.0,0.0,0.0,0.0,1.0,0.0
353,The CBS Interactive Privacy Policy has been updated.,0.0,0.0,0.0,0.0,1.0,0.0
354,"Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates.  ",0.0,1.0,0.0,0.0,0.0,0.0
355,"SRL also may use Site visitor data to contact the Site visitors regarding account status and changes to the Terms and Conditions, any subscriber agreement, this Privacy Statement, and any other policies or agreements relevant to Site visitors.",0.0,1.0,0.0,0.0,0.0,0.0
356,contact the Site visitors,1.0,0.0,0.0,0.0,0.0,0.0
357,"Notice of any new or revised Privacy Statement, as well as the location of the new or revised statement, will be posted on the Site for at least 60 days after the change.",0.0,0.0,1.0,0.0,0.0,0.0
358,"Last Updated: March 1, 2015",0.0,0.0,0.0,0.0,1.0,0.0
359,You will be notified via e-mail,1.0,0.0,0.0,0.0,0.0,0.0
360,notified via e-mail,1.0,0.0,0.0,0.0,0.0,0.0
361,we will post the changes on the JibJab Site(s) affected by such changes,0.0,0.0,1.0,0.0,0.0,0.0
362,and notify registered users and members via email.,1.0,0.0,0.0,0.0,0.0,0.0
363,This Privacy Policy is subject to change by JibJab from time to time.,0.0,1.0,0.0,0.0,0.0,0.0
364,we will post the changes on the JibJab Site(s) affected by such changes and notify registered users and members via email,1.0,0.0,0.0,0.0,0.0,0.0
365,we will post the changes on the JibJab Site(s),0.0,0.0,1.0,0.0,0.0,0.0
366,notify registered users and members via email,1.0,0.0,0.0,0.0,0.0,0.0
367,post a notice on this Website,0.0,0.0,1.0,0.0,0.0,0.0
368,We will post a notice on this Website if and when this policy changes to alert visitors that a new policy is in place.,0.0,0.0,1.0,0.0,0.0,0.0
369,We will post a notice on this Website,0.0,0.0,1.0,0.0,0.0,0.0
370,"Material that is, really important changes to the way we use or disclose personally identifiable information will apply on a going-forward basis, unless we have your express consent to change the way we use or disclose the personally identifiable information we collected when the earlier version of this Privacy Policy was in effect.  ",0.0,1.0,0.0,0.0,0.0,0.0
371,This Privacy Policy and your account settings,0.0,0.0,0.0,0.0,1.0,0.0
372,Please look at the Effective Date at the top of this Privacy Policy to see when this Privacy Policy was last revised.,0.0,0.0,0.0,1.0,1.0,0.0
373,notification,0.0,1.0,0.0,0.0,0.0,0.0
374,we will post a notice on our website,0.0,0.0,1.0,0.0,0.0,0.0
375,and / or send an email to users who have provided an email address,1.0,0.0,0.0,0.0,0.0,0.0
376,e will post a notice on our website,0.0,0.0,1.0,0.0,0.0,0.0
377,send an email to users who have provided an email address,1.0,0.0,0.0,0.0,0.0,0.0
378,notice on our website,0.0,0.0,1.0,0.0,0.0,0.0
379,"Changes to this Privacy Statement   The contents of this statement may be altered at any time, at our discretion.  ",0.0,1.0,0.0,0.0,0.0,0.0
380,"The contents of this statement may be altered at any time, at our discretion.",0.0,1.0,0.0,0.0,0.0,0.0
381,"we will post those changes to this Privacy Policy page,",0.0,0.0,0.0,0.0,1.0,0.0
382,"those changes to this Privacy Policy page,",0.0,0.0,0.0,0.0,1.0,0.0
383,"ther places we deem appropriate so our users are always aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it.",0.0,0.0,0.0,1.0,0.0,0.0
384,"This Privacy Policy was most recently updated February 11, 2015.",0.0,0.0,0.0,0.0,1.0,0.0
385,"This page reflects the current policy at any given time. It may be updated occasionally. It was most recently updated on May 21, 2015.",0.0,0.0,0.0,0.0,1.0,0.0
386,"Last Updated on June 10, 2015",0.0,0.0,0.0,0.0,1.0,0.0
387,Any such changes will be posted on this page.,0.0,0.0,0.0,0.0,1.0,0.0
388,will be posted on this page thirty (30) days prior to taking effect and registered users will be notified via email.,1.0,0.0,0.0,0.0,0.0,0.0
389,the change will be posted on this page,0.0,0.0,0.0,0.0,1.0,0.0
390,posted to this Privacy Policy,0.0,0.0,0.0,0.0,1.0,0.0
391,changes will be posted to this Privacy Policy,0.0,0.0,1.0,0.0,0.0,0.0
392,Updated as of May 2014,0.0,0.0,0.0,0.0,1.0,0.0
393,We may update this Privacy Policy from time to time.,0.0,1.0,0.0,0.0,0.0,0.0
394,we will inform you of such change via emai,1.0,0.0,0.0,0.0,0.0,0.0
395,by posting a notice on relevant areas of the Services.,0.0,0.0,0.0,1.0,0.0,0.0
396,inform you of such change via email,1.0,0.0,0.0,0.0,0.0,0.0
397,posting a notice on relevant areas of the Services.,0.0,0.0,1.0,0.0,0.0,0.0
398,we will inform you of such change via email or by posting a notice on relevant areas of the Services.,0.0,1.0,0.0,0.0,0.0,0.0
399,"Last updated on October 1, 2013",0.0,0.0,0.0,0.0,1.0,0.0
400,"PLEASE READ THE FOLLOWING PRIVACY POLICY CAREFULLY. BY REGISTERING FOR OR USING OUR ONLINE SERVICES, YOU AGREE THAT (i) WE MAY TRANSFER, PROCESS, AND STORE YOUR ACCOUNT INFORMATION IN THE UNITED STATES OF AMERICA AND OTHER COUNTRIES THAT MAY HAVE DIFFERENT PRIVACY PROTECTIONS THAN YOUR COUNTRY; (ii) WE MAY PROCESS YOUR DATA IN ACCORDANCE WITH THE FOLLOWING PRIVACY POLICY; (iii) YOU ARE BOUND BY OUR PRIVACY POLICY; AND (iv) YOU WILL ABIDE BY OUR TERMS CONDITIONS, CODE OF CONDUCT, AND ANY OTHER POLICIES THAT MAY APPLY. THIS PRIVACY POLICY SUPPLEMENTS THE PRIVACY DISCLOSURES PROVIDED TO YOU WITH YOUR SOFTWARE PRODUCT AND/OR BY YOUR CONSOLE MANUFACTURER.  ",0.0,1.0,0.0,0.0,0.0,0.0
401,notify,1.0,0.0,0.0,0.0,0.0,0.0
402,or by means of a notice on our home page.,0.0,0.0,1.0,0.0,0.0,0.0
403,by email,1.0,0.0,0.0,0.0,0.0,0.0
404,"e will notify you here, by email, or by means of a notice on our home page.",1.0,0.0,0.0,0.0,1.0,0.0
405,"e will notify you here, by email, or by means of a notice on our home page",0.0,0.0,1.0,0.0,0.0,0.0
406,will be posted on this page,0.0,0.0,0.0,0.0,1.0,0.0
407,placing a prominent notice on our site,0.0,0.0,1.0,0.0,0.0,0.0
408,or sending a notice to the primary email address specified in your account.,1.0,0.0,0.0,0.0,0.0,0.0
409,by placing a prominent notice on our site,0.0,0.0,1.0,0.0,0.0,0.0
410,We will notify you of any significant or material changes in the way we treat your information by placing a prominent notice on our site,0.0,0.0,1.0,0.0,0.0,0.0
411,sending a notice to the primary email address specified in your account.,1.0,0.0,0.0,0.0,0.0,0.0
412,privacy policy link,0.0,0.0,0.0,0.0,1.0,0.0
413,notice will appear prominently on your front page,0.0,0.0,1.0,0.0,0.0,0.0
414,may only be highlighted by the privacy policy link in the footer of our website.,0.0,0.0,0.0,0.0,1.0,0.0
415,"Where the changes substantially alter your rights, notice will appear prominently on your front page.",0.0,0.0,1.0,0.0,0.0,0.0
416,More minor changes may only be highlighted by the privacy policy link in the footer of our website.,0.0,0.0,0.0,0.0,1.0,0.0
417,"Last revised on December 31, 2014",0.0,0.0,0.0,0.0,1.0,0.0
418,we will prominently post notice of the changes on ourCovered Sites.,0.0,0.0,1.0,0.0,0.0,0.0
