,Clause,Category
388,"By using any of the services above, you are accepting the practices described in our Privacy Policy.",Unspecified
389,without changing the effective date of the Privacy Policy itself.,Other
390,without changing the effective date of the Privacy Policy itself. We urge you to check this section for changes regularly.,No notification
391,"When we post changes to this Privacy Policy, we will revise the ""last updated"" date at the top of this page.",General notice in privacy policy
392,"If we provide notice of changes via email, you consent to receiving email notice of such changes.",Personal notice
393,"we will revise the ""last updated"" date at the top of this page.",General notice in privacy policy
394,"we will revise the ""last updated"" date at the top of this page.",General notice in privacy policy
395,notice of changes via email,Personal notice
396,"Effective Date: May 7, 2015",General notice in privacy policy
397,We will indicate the notice's effective date on the first page of the notice.,General notice in privacy policy
398,We will indicate the notice's effective date on the first page of the notice.,General notice in privacy policy
399,We will indicate the notice's effective date on the first page of the notice.,General notice in privacy policy
400,"Last updated: August 26, 2014",General notice in privacy policy
401,updated policy on the Sites,General notice on website
402,appropriate notice to you.,Personal notice
403,"n line with these values, our privacy policy may change from time to time. If it does, we will post an updated policy on the Sites and change the ""last updated"" line above.",General notice in privacy policy
404,"pdated policy on the Sites and change the ""last updated"" line abo",General notice in privacy policy
405,we will provide appropriate notice to you.,Unspecified
406,without,No notification
407,"If we modify our Privacy Policy, we may post a notice on our website",General notice on website
408,without notice.,No notification
409,we may post a notice on our website,General notice in privacy policy
410,"post a notice on our website so our users are aware of what information we collect,",General notice on website
411,We will post all changes to this Policy on the Sites,General notice on website
412,"We will post all changes to this Policy on the Sites, and we encourage all visitors and users of the Sites to check this policy from time to time.",No notification
413,We will post all changes to this Policy on the Sites,General notice on website
414,so please be sure to visit this site often to see if anything has changed. If we post changes,Unspecified
415,so please be sure to visit this site often to see if anything has changed.,No notification
416,so please be sure to visit this site often to see if anything has changed.,General notice in privacy policy
417,The revised policy will be posted on the MediaNews Web site.,Unspecified
418,The revised policy will be posted on the MediaNews Web site. Please check this page periodically for changes.,Other
419,Please check this page periodically for changes.,General notice in privacy policy
420,The revised policy will be posted on the MediaNews Web site. Please check this page periodically for changes.,Other
421,The revised policy will be posted on the MediaNews Web site.,General notice on website
422,Please check this page periodically for changes.,General notice in privacy policy
423,we'll post the changes here,General notice in privacy policy
424,we'll post the changes here and indicate at the top of the policy the last date on which it was updated,General notice in privacy policy
425,we'll post the changes here and indicate at the top of the policy the last date on which it was updated.,General notice in privacy policy
426,Kaleida Health will post any revised notice in our hospital reception area.,Other
427,t any revised notice in our hospital reception area.,Other
428,You will also be able to obtain your own copy of the revised notice by accessing our website at www.Kaleidahealth.org,General notice on website
429,"Kaleida Health may change our privacy practices from time to time. If we do, we will revise this notice so you will have an accurate summary of our practices. The revised notice will apply to all of your health information. Kaleida Health will post any revised notice in our hospital reception area.",General notice in privacy policy
430,The CBS Interactive Privacy Policy has been updated.,General notice in privacy policy
431,"Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates.  ",Unspecified
432,"SRL also may use Site visitor data to contact the Site visitors regarding account status and changes to the Terms and Conditions, any subscriber agreement, this Privacy Statement, and any other policies or agreements relevant to Site visitors.",Unspecified
433,contact the Site visitors,Personal notice
434,contact the Site visitors,Personal notice
435,contact the Site visitors,Personal notice
436,"Notice of any new or revised Privacy Statement, as well as the location of the new or revised statement, will be posted on the Site for at least 60 days after the change.",General notice on website
437,"Notice of any new or revised Privacy Statement, as well as the location of the new or revised statement, will be posted on the Site for at least 60 days after the change.",General notice on website
438,Not selected,Unspecified
439,"Last Updated: March 1, 2015",General notice in privacy policy
440,You will be notified via e-mail,Personal notice
441,notified via e-mail,Personal notice
442,notified via e-mail,Personal notice
443,notified via e-mail,Personal notice
444,we will post the changes on the JibJab Site(s) affected by such changes,General notice on website
445,and notify registered users and members via email.,Personal notice
446,This Privacy Policy is subject to change by JibJab from time to time.,Unspecified
447,we will post the changes on the JibJab Site(s) affected by such changes and notify registered users and members via email,Personal notice
448,we will post the changes on the JibJab Site(s),General notice on website
449,notify registered users and members via email,Personal notice
450,post a notice on this Website,General notice on website
451,We will post a notice on this Website if and when this policy changes to alert visitors that a new policy is in place.,General notice on website
452,We will post a notice on this Website,General notice on website
453,"Material that is, really important changes to the way we use or disclose personally identifiable information will apply on a going-forward basis, unless we have your express consent to change the way we use or disclose the personally identifiable information we collected when the earlier version of this Privacy Policy was in effect.  ",Unspecified
454,"Material that is, really important changes to the way we use or disclose personally identifiable information will apply on a going-forward basis, unless we have your express consent to change the way we use or disclose the personally identifiable information we collected when the earlier version of this Privacy Policy was in effect.  ",Unspecified
455,This Privacy Policy and your account settings,General notice in privacy policy
456,Please look at the Effective Date at the top of this Privacy Policy to see when this Privacy Policy was last revised.,Other
457,Please look at the Effective Date at the top of this Privacy Policy to see when this Privacy Policy was last revised.,Other
458,Please look at the Effective Date at the top of this Privacy Policy to see when this Privacy Policy was last revised.,General notice in privacy policy
459,notification,Unspecified
460,we will post a notice on our website,General notice on website
461,and / or send an email to users who have provided an email address,Personal notice
462,e will post a notice on our website,General notice on website
463,send an email to users who have provided an email address,Personal notice
464,notice on our website,General notice on website
465,send an email to users who have provided an email address,Personal notice
466,"Changes to this Privacy Statement   The contents of this statement may be altered at any time, at our discretion.  ",Unspecified
467,"The contents of this statement may be altered at any time, at our discretion.",Unspecified
468,Not selected,Unspecified
469,"we will post those changes to this Privacy Policy page,",General notice in privacy policy
470,"those changes to this Privacy Policy page,",General notice in privacy policy
471,"ther places we deem appropriate so our users are always aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it.",Other
472,"This Privacy Policy was most recently updated February 11, 2015.",General notice in privacy policy
473,"This page reflects the current policy at any given time. It may be updated occasionally. It was most recently updated on May 21, 2015.",General notice in privacy policy
474,"Last Updated on June 10, 2015",General notice in privacy policy
475,registered users will be notified via email.,Personal notice
476,Any such changes will be posted on this page.,General notice in privacy policy
477,the change will be posted on this page thirty (30) days prior to taking effect,General notice in privacy policy
478,will be posted on this page thirty (30) days prior to taking effect and registered users will be notified via email.,Personal notice
479,the change will be posted on this page,General notice in privacy policy
480,posted to this Privacy Policy,General notice in privacy policy
481,changes will be posted to this Privacy Policy,General notice on website
482,posted to this Privacy Policy,General notice in privacy policy
483,Updated as of May 2014,General notice in privacy policy
484,We may update this Privacy Policy from time to time.,Unspecified
485,we will inform you of such change via emai,Personal notice
486,by posting a notice on relevant areas of the Services.,Other
487,inform you of such change via email,Personal notice
488,posting a notice on relevant areas of the Services.,General notice on website
489,we will inform you of such change via email or by posting a notice on relevant areas of the Services.,Unspecified
490,"Last updated on October 1, 2013",General notice in privacy policy
491,"PLEASE READ THE FOLLOWING PRIVACY POLICY CAREFULLY. BY REGISTERING FOR OR USING OUR ONLINE SERVICES, YOU AGREE THAT (i) WE MAY TRANSFER, PROCESS, AND STORE YOUR ACCOUNT INFORMATION IN THE UNITED STATES OF AMERICA AND OTHER COUNTRIES THAT MAY HAVE DIFFERENT PRIVACY PROTECTIONS THAN YOUR COUNTRY; (ii) WE MAY PROCESS YOUR DATA IN ACCORDANCE WITH THE FOLLOWING PRIVACY POLICY; (iii) YOU ARE BOUND BY OUR PRIVACY POLICY; AND (iv) YOU WILL ABIDE BY OUR TERMS CONDITIONS, CODE OF CONDUCT, AND ANY OTHER POLICIES THAT MAY APPLY. THIS PRIVACY POLICY SUPPLEMENTS THE PRIVACY DISCLOSURES PROVIDED TO YOU WITH YOUR SOFTWARE PRODUCT AND/OR BY YOUR CONSOLE MANUFACTURER.  ",Unspecified
492,notify,Personal notice
493,or by means of a notice on our home page.,General notice on website
494,we will notify you here,General notice in privacy policy
495,by email,Personal notice
496,or by means of a notice on our home page,General notice on website
497,"e will notify you here, by email, or by means of a notice on our home page.",General notice in privacy policy
498,"e will notify you here, by email, or by means of a notice on our home page",General notice on website
499,"e will notify you here, by email, or by means of a notice on our home page.",Personal notice
500,will be posted on this page,General notice in privacy policy
501,placing a prominent notice on our site,General notice on website
502,or sending a notice to the primary email address specified in your account.,Personal notice
503,Any such changes will be posted on this page.,General notice in privacy policy
504,by placing a prominent notice on our site,General notice on website
505,or sending a notice to the primary email address specified in your account.,Personal notice
506,We will notify you of any significant or material changes in the way we treat your information by placing a prominent notice on our site,General notice on website
507,sending a notice to the primary email address specified in your account.,Personal notice
508,Any such changes will be posted on this page.,General notice in privacy policy
509,notice,General notice on website
510,privacy policy link,General notice in privacy policy
511,notice will appear prominently on your front page,General notice on website
512,may only be highlighted by the privacy policy link in the footer of our website.,General notice in privacy policy
513,"Where the changes substantially alter your rights, notice will appear prominently on your front page.",General notice on website
514,More minor changes may only be highlighted by the privacy policy link in the footer of our website.,General notice in privacy policy
515,"Last revised on December 31, 2014",General notice in privacy policy
516,we will prominently post notice of the changes on ourCovered Sites.,General notice on website
517,we will prominently post notice of the changes on ourCovered Sites.,General notice on website
518,we will prominently post notice of the changes on ourCovered Sites.,General notice on website
519,Not selected,Unspecified
